name 	type 	id 	image1 	image2 	color1 	color2 	color3 	color4 	notPet 	unk5 	unk6 	lvl 	hpmax 	spmax 	hpx 	spx 	int 	atk 	def 	agi 	doanhtrai 	exp_bonus 	element 	skill1 	skill2 	skill3 	drop 	drop 	drop 	drop 	drop 	drop 	unk1 	skill4 	reborn 	unk2 	unk3
Ðỗ Viễn	1	10029	1065	1001	444444566	444841444	740444444	444444444	0	1	5	35	228	169	14	8	9	17	12	12	4	805	3	12001	12002	12003	26078	26003	26101	0	0	0	0	0	0	0	0
Cung Ðô	1	10030	1080	1001	444236444	432444533	662444444	444444444	0	15	2	54	353	228	22	11	12	33	15	17	4	1242	3	12002	12004	12005	27061	26004	26003	0	0	0	0	0	0	0	0
Bành Thoát	1	10031	1082	1001	444522444	444822663	772444444	444444444	0	15	1	44	309	184	22	7	8	16	19	18	4	1012	1	10001	10002	10006	26035	26004	26078	0	49002	0	0	0	0	0	0
Ngô Bá	1	10032	1107	1001	444222554	542641762	772444651	444444444	0	8	2	76	542	265	30	9	6	66	37	29	4	1748	1	10002	10005	10007	26035	27049	26090	0	49001	0	0	0	0	0	0
Bù Kỷ	1	10033	1099	1001	444661566	551444651	760444444	444444444	0	15	6	41	267	177	16	7	9	24	18	10	4	943	1	10001	10002	10003	27005	26004	26078	0	49002	0	0	0	0	0	0
Ðại.Ph.Tướng	1	10034	1083	1001	444444444	551444633	662722444	444444444	0	2	3	10	59	82	4	2	2	5	5	2	4	0	1	10002	0	0	26157	26082	27029	0	0	0	0	0	0	0	0
Tiểu.Ph.Tướng	1	10035	1003	1001	663444444	444633662	663444222	444444444	0	2	5	7	47	75	3	2	1	3	2	4	4	0	1	10001	0	0	26047	26082	26157	46016	0	0	0	0	0	0	0
Lính Khăn Vàng	1	10036	1007	1001	550444545	147456444	444444456	444444444	0	1	2	3	31	66	1	1	1	1	1	1	4	0	2	11001	0	0	26003	27022	26002	0	0	0	0	0	0	0	0
Binh Ðạo Ma	1	10037	1023	1001	553345344	256246444	444444444	444444444	0	1	6	1	23	63	0	1	1	1	1	1	4	0	0	0	0	0	32002	32002	26002	0	0	0	0	0	0	0	0
Binh Khăn Vàng	1	10038	1005	1001	444444444	444444444	444444444	444444444	0	1	1	2	25	64	0	1	1	1	1	1	4	0	1	10001	0	0	26001	26001	27035	0	0	0	0	0	0	0	0
NamHoa LãoTiên	1	10039	1066	1001	444555444	541111222	444444444	444444444	1	3	0	200	11724	1824	200	200	300	250	250	300	4	4600	3	12009	12024	12026	0	0	0	0	0	0	0	0	2	0	0
Tiêu Võ Sĩ	1	10040	1147	1001	208444445	158616555	444444357	444444444	0	0	0	83	635	344	33	20	3	47	36	26	4	0	2	11005	0	0	26106	27072	27072	36009	0	0	0	0	0	0	0
Lính Phục Kích	1	10041	1196	1001	110444333	661771444	444444444	444444444	0	1	7	80	611	333	32	19	4	32	31	41	4	0	1	10007	0	0	27072	26106	26106	0	0	0	0	0	0	0	0
Vệ Binh K.Vàng	1	10042	1005	1001	550444544	411626444	444444444	444444444	0	1	1	5	38	70	2	1	1	3	2	1	4	0	3	12001	0	0	26001	27022	26002	20737	0	0	0	0	0	0	0
Du Hồn Thốt	1	10043	1005	1001	551444555	350888444	444444450	444444444	0	1	7	66	401	235	26	16	6	27	25	30	4	0	4	13006	0	0	26229	26234	26229	0	0	0	0	0	0	0	0
Tế Quỷ Thốt	1	10044	1023	1001	661333553	440871444	444444444	444444444	0	1	3	68	414	241	27	16	5	30	26	31	4	0	1	10006	0	0	26229	26234	26229	0	0	0	0	0	0	0	0
Binh Du Kích	1	10045	1005	1001	444444444	144777444	444444444	444444444	0	1	4	18	102	96	9	3	2	10	4	8	4	0	4	13001	0	0	26100	26165	0	0	0	0	0	0	0	0	0
Binh Dao Lẻ	1	10046	1005	1001	444444444	149771444	444444444	444444444	0	1	1	27	147	127	13	7	2	12	11	9	4	0	2	11004	0	0	27028	27036	27036	50001	0	0	0	0	0	0	0
Dân Binh	1	10047	1005	1001	444444444	100811444	444444444	444444444	0	1	5	47	300	142	31	4	3	31	16	11	4	0	1	10003	0	0	27047	26050	26050	46016	0	0	0	0	0	0	0
Ðội Chiến Rìu	1	10048	1062	1001	444640655	940444444	444444740	444444444	0	6	4	99	765	405	40	23	4	46	38	44	4	0	3	12006	0	0	26252	26252	32026	0	0	0	0	0	0	0	0
Binh Dao Ngắn	1	10049	1005	1001	444444444	444252444	444444262	444444444	0	1	1	51	282	148	20	4	5	26	13	34	4	0	4	13006	0	0	27056	27064	26056	0	0	0	0	0	0	0	0
Trường.Th.Binh	1	10050	1005	1001	444444444	217525444	444444444	444444444	0	1	2	35	217	115	19	2	7	16	14	12	4	0	2	11003	0	0	26054	26169	26043	46018	0	0	0	0	0	0	0
Binh Lao Dài	1	10051	1005	1001	444444444	478662444	444444444	444444444	0	1	2	39	247	141	26	6	7	21	8	10	4	0	4	13004	0	0	27003	27037	0	0	0	0	0	0	0	0	0
Binh Dao Lớn	1	10052	1005	1001	444444444	138136444	444444444	444444444	0	1	5	54	334	174	28	8	6	34	16	16	4	0	2	11005	0	0	26047	26055	26050	0	24025	0	0	0	0	0	0
Thánh Binh	1	10053	1005	1001	444444444	503565444	444444444	444444444	0	1	3	56	297	188	20	10	22	22	20	20	4	0	3	12005	0	0	26085	26092	26092	0	24025	0	0	0	0	0	0
Binh Trưởng	1	10054	1005	1001	444444444	634161444	444444444	444444444	0	1	6	24	129	109	11	4	5	12	8	8	4	0	3	12002	0	0	26002	26090	26090	0	0	0	0	0	0	0	0
Binh Tinh Giáp	1	10055	1007	1001	444444444	634535444	444444444	444444444	0	1	4	28	154	119	14	5	7	9	12	9	4	0	3	12002	0	0	27029	26045	0	0	0	0	0	0	0	0	0
Binh Dao Mi	1	10056	1007	1001	217444544	633960444	444444640	444444444	0	1	5	93	716	382	37	22	5	44	38	37	4	0	3	12005	0	0	26249	26235	26249	37968	0	0	0	0	0	0	0
Binh Kiếm Sắt	1	10057	1064	1001	149444555	551167444	660444660	444444444	0	1	3	94	724	386	38	22	6	36	39	43	4	0	1	10003	0	0	26235	26249	26235	50001	0	0	0	0	0	0	0
Trảm.Ph.Quang	1	10058	1148	1001	360444444	460660641	444444460	460444444	0	20	14	99	765	405	40	23	4	43	38	47	4	0	4	13009	0	0	32026	32026	26252	0	0	0	0	0	0	0	0
Binh Giáp Nặng	1	10059	1007	1001	444444344	116474444	444444444	444444444	0	1	5	8	51	74	3	1	1	3	7	1	4	0	1	10001	0	0	27034	27034	27034	0	0	0	0	0	0	0	0
Binh Giáp Nhẹ	1	10060	1007	1001	444664666	511752444	444444444	444444444	0	1	6	11	58	78	3	1	1	8	6	3	4	0	3	12001	0	0	43032	27035	27035	0	0	0	0	0	0	0	0
Tướng Xoa Kích	1	10061	1003	1001	660444444	660740550	660444660	444444444	0	2	4	100	773	409	40	24	4	48	45	35	4	0	1	10006	0	0	26252	26252	32026	37988	0	0	0	0	0	0	0
Binh Phi Kích	1	10062	1196	1001	551444544	161464444	444444464	444444444	0	1	4	49	280	187	26	12	10	14	26	10	4	0	4	13004	0	0	27056	27061	26054	0	0	0	0	0	0	0	0
Tặc.Tr.Kích	1	10063	1196	1001	551444555	159346444	444444246	444444444	0	1	6	87	668	360	35	21	6	38	39	33	4	0	2	11005	0	0	26249	26235	26235	0	0	0	0	0	0	0	0
BinhThươngSắt	1	10064	1065	1001	644444333	661444444	660444444	444444444	0	1	2	88	676	363	35	21	5	38	38	35	4	0	1	10003	0	0	26235	26249	26249	0	0	0	0	0	0	0	0
Võ Sĩ Ma	1	10065	1064	1001	551444555	411444444	511444444	444444444	0	1	2	36	188	166	16	12	16	6	10	12	4	0	3	12004	0	0	26101	26081	26165	46016	0	0	0	0	0	0	0
Biêu Võ Sĩ	1	10066	1064	1001	550444555	511633444	511444444	444444444	0	1	5	88	676	364	35	21	7	38	37	33	4	0	3	12005	0	0	26249	26235	26235	0	0	0	0	0	0	0	0
Giải Võ Sĩ	1	10067	1023	1001	444544444	114871444	444444444	444444444	0	1	2	10	59	82	4	3	3	5	3	3	4	0	1	10002	0	0	26045	26162	26162	46016	0	0	0	0	0	0	0
Chính Võ Sĩ	1	10068	1064	1001	551444555	218777444	316444666	444444444	0	1	3	13	75	89	6	3	1	7	4	4	4	0	2	11001	0	0	26045	26080	26045	0	0	0	0	0	0	0	0
Võ Vệ Sĩ	1	10069	1023	1001	554633444	411611444	444444611	444444444	0	1	6	16	86	89	6	2	2	9	7	5	4	0	3	12001	0	0	27035	27002	27002	46016	0	0	0	0	0	0	0
Tà Võ Sĩ	1	10070	1023	1001	661666555	679777444	444444444	444444444	0	1	4	89	684	367	36	21	5	41	38	36	4	0	4	13004	0	0	26235	26249	26249	0	0	0	0	0	0	0	0
H.Thiên Võ Sĩ	1	10071	1023	1001	662662344	662762444	444444444	444444444	0	1	2	13	72	84	5	2	1	8	5	5	4	0	1	10003	0	0	26045	26080	0	0	0	0	0	0	0	0	0
Th.Bình Võ Sĩ	1	10072	1023	1001	555353444	151353444	444444353	444444444	0	1	1	15	73	94	4	4	2	8	5	7	4	0	4	13001	0	0	26045	26080	0	0	0	0	0	0	0	0	0
Th.Công Võ Sĩ	1	10073	1023	1001	652323454	652444444	444444444	444444444	0	1	2	49	195	166	10	8	16	20	17	16	4	0	1	10006	0	0	27056	27061	26054	0	0	0	0	0	0	0	0
Tr.Võ Sĩ Ma	1	10074	1023	1001	554246334	145166444	444444444	444444444	0	1	4	24	115	109	8	4	4	11	9	12	4	0	2	11003	0	0	26041	26078	26084	0	0	0	0	0	0	0	0
Diêm Chính	1	10075	1003	1001	660444443	660611660	663444444	444444444	0	2	4	55	338	230	18	11	6	33	20	21	4	1265	1	10002	10003	10006	26059	27067	27061	0	49002	0	0	0	0	0	0
Tô Mã	1	10076	1065	1001	622444444	579246444	677444246	444444444	0	1	3	73	519	310	29	18	16	40	37	31	4	1679	4	13001	13004	13006	26086	26005	26044	0	49002	0	0	0	0	0	0
Quách Thạch	1	10077	1065	1001	444444444	138247353	246444444	444444444	0	1	5	76	533	301	29	15	17	47	36	33	4	1748	2	11001	11003	11008	27057	26018	26035	0	49002	0	0	0	0	0	0
Châu Triều 	1	10078	1062	1001	444358343	344247444	444444444	444444444	0	6	1	77	549	325	31	19	14	48	35	32	4	1771	2	11001	11003	11008	26159	26081	26007	0	49002	0	0	0	0	0	0
Khư Tinh	1	10079	1108	1001	444124444	126146771	661236345	444444444	0	2	4	85	651	355	34	21	16	61	37	36	4	1955	2	11003	11005	11008	27027	26084	26006	0	49001	0	0	0	0	0	0
Vương Ðộ	1	10080	1098	1001	444333344	661333661	533444444	444444444	0	15	2	56	342	254	18	15	38	7	20	16	1	1288	3	12001	12002	12004	27027	26084	26167	0	49001	0	0	0	0	0	0
Lính Cô Hồn	1	10081	1064	1001	444444344	578444444	663444444	444444444	0	1	2	4	35	68	2	1	1	1	1	1	4	0	4	13001	0	0	26033	26033	26057	0	0	0	0	0	0	0	0
Lính Ma Dữ	1	10082	1064	1001	444444233	148147444	247444444	444444444	0	1	2	8	51	77	3	2	3	4	1	3	4	0	2	11001	0	0	26033	26033	26057	0	0	0	0	0	0	0	0
Phần Nữ Tặc	1	10083	1155	1001	444557554	350460444	444444350	444444444	0	11	0	51	257	191	20	12	4	23	22	19	4	0	4	13001	0	0	26167	26170	26167	0	24026	0	0	0	0	0	0
Thanh Diện Tặc	1	10084	1021	1001	245457340	626246444	444444315	444444444	0	1	5	53	267	197	21	13	4	25	23	20	4	0	2	11003	0	0	26101	26102	26101	0	24026	0	0	0	0	0	0
Trưởng Lính Ma	1	10085	1064	1001	444444444	444722111	622444444	444444444	0	1	4	19	99	101	8	4	10	6	3	7	4	0	1	10003	0	0	27003	27003	27003	0	0	0	0	0	0	0	0
Tế Rượu Tào	1	10086	1065	1001	444444444	444772444	650444444	444444444	0	1	6	23	108	129	7	9	13	4	3	10	4	0	1	10003	0	0	27040	26053	0	0	0	0	0	0	0	0	0
Tế Rượu Hầu 	1	10087	1065	1001	800444444	444147444	147444444	444444444	0	1	7	49	174	182	6	11	32	10	20	19	4	0	2	11003	0	0	27030	27024	27035	50001	0	0	0	0	0	0	0
Tế Rượu Thi	1	10088	1065	1001	444444444	444772444	522444444	444444444	0	1	4	23	113	129	8	9	14	2	3	10	4	0	3	12002	0	0	27065	26064	0	0	0	0	0	0	0	0	0
Tế Rượu Vệ	1	10089	1065	1001	663444434	444777444	566444777	444444444	0	1	1	30	128	155	7	12	18	4	6	13	4	0	4	13004	0	0	26162	27054	0	0	0	0	0	0	0	0	0
Tế Rượu Sư	1	10090	1065	1001	772444555	444333444	222444444	444444444	0	1	4	56	264	212	19	15	30	10	21	18	4	0	1	10006	0	0	26158	26042	0	0	0	0	0	0	0	0	0
Sư Bói	1	10091	1003	1001	553444444	662333651	662444333	444444444	0	2	2	53	260	205	20	14	34	9	15	14	4	0	1	10006	0	0	27037	26035	0	0	0	0	0	0	0	0	0
Yêu Thuật Sĩ	1	10092	1003	1001	511444444	147357511	345444346	444444444	0	2	3	38	165	189	10	16	23	3	10	14	4	0	2	11003	0	0	27037	26035	0	0	0	0	0	0	0	0	0
Yêu Thuật Sư	1	10093	1003	1001	662444444	533622552	533622552	444444444	0	2	2	41	188	167	13	11	20	16	9	14	4	0	3	12004	0	0	26158	26084	26084	46018	42006	0	0	0	0	0	0
Hầu Bói	1	10094	1003	1001	662444444	252252551	566444151	444444444	0	2	1	55	266	210	20	14	30	9	20	19	4	0	4	13004	0	0	26077	27066	0	0	0	0	0	0	0	0	0
Ðại Yêu Sư	1	10095	1003	1001	662444434	663222662	333444222	444444444	0	2	5	80	506	291	21	21	50	21	30	27	4	0	1	10006	0	0	26029	26115	26007	36010	0	0	0	0	0	0	0
Phong Thế	1	10096	1030	1001	136444555	551236246	444444245	444444444	0	3	3	65	394	283	20	16	24	36	23	26	4	1495	2	11001	11003	11005	27032	26085	26170	0	49001	0	0	0	0	0	0
Từ Phụng	1	10097	1030	1001	525444555	551525525	444444444	444444444	0	3	1	63	373	231	18	8	17	43	30	25	4	1449	3	12001	12005	12006	26050	26067	26007	0	0	0	0	0	0	0	0
Vu Ðộc	1	10098	1049	1001	444652444	441642752	642770641	444444444	0	2	5	70	451	269	20	12	12	53	36	32	4	1610	1	10002	10006	10008	26016	27018	0	0	0	47007	0	0	0	0	0
Bạch Nhiễu	1	10099	1081	1001	552242444	552141141	662444444	444444444	0	15	1	69	429	279	23	14	11	45	28	32	4	1587	4	13002	13005	13006	27057	27039	27007	0	49001	47018	0	0	0	0	0
Giai Cố	1	10100	1065	1001	622444444	555165444	155444265	444444444	0	1	7	65	405	247	22	10	11	41	32	29	4	1495	4	13001	13004	13006	27042	26086	26168	0	49001	0	0	0	0	0	0
Ðường Chu	1	10101	1117	1001	444662444	670246444	444444357	444444444	0	2	3	59	387	245	24	12	16	26	23	20	4	1357	1	10002	10003	10006	27020	27037	27042	0	49001	0	0	0	0	0	0
Tàn Binh	1	10102	1007	1001	411444555	660770444	444444661	444444444	0	1	3	56	283	206	22	13	5	23	26	22	4	0	1	10005	0	0	27039	26229	27039	0	0	0	0	0	0	0	0
Lý Ðại Mục	1	10103	1011	1001	444333554	962761444	444444660	444444444	0	6	5	66	421	281	24	16	5	55	24	23	4	1518	1	10003	10005	10006	26018	26060	27033	0	49001	47008	0	0	0	0	0
Tả Tượng Bát	1	10104	1062	1001	444151552	862444444	444444444	444444444	0	6	4	67	441	217	27	4	6	50	32	30	4	1541	1	10002	10005	10007	26066	26068	27026	0	49001	0	0	0	0	0	0
Lưu Thạch	1	10105	1079	1001	444333554	551444551	761444444	444444444	0	15	4	67	441	286	27	16	20	32	26	28	4	1541	1	10001	10002	10005	26067	26091	27021	0	49001	0	0	0	0	0	0
La Thị	1	10106	1065	1001	444444344	255760444	651444444	444444444	0	1	7	62	391	268	22	15	25	26	24	27	4	1426	4	13001	13004	13006	27027	26085	26008	0	49001	0	0	0	0	0	0
Lôi Công	1	10107	1065	1001	444444544	631761444	651444444	444444444	0	1	5	64	389	262	20	13	7	49	28	26	4	1472	3	12002	12004	12005	26159	27027	27033	0	49001	0	0	0	0	0	0
Ngũ Lộc	1	10108	1003	1001	553444444	661222651	541444333	444444444	0	2	3	69	455	273	28	13	13	33	35	31	4	1587	1	10002	10003	10006	26115	27038	27008	0	49001	0	0	0	0	0	0
Ðại Hồng	1	10109	1019	1001	662633444	424246246	444444246	444444444	0	2	6	70	468	275	23	13	10	49	38	32	4	1610	2	11001	11003	11005	26115	27043	26018	0	49001	47009	0	0	0	0	0
Khăn Vàng	1	10110	1005	1001	553444444	631367444	444444246	444444444	0	1	1	8	51	77	3	2	2	4	3	2	4	0	3	12001	0	0	26002	26016	26001	20737	0	0	0	0	0	0	0
Binh Kh.Vàng	1	10111	1021	1001	871644555	888333444	444444444	444444444	0	1	2	9	55	80	4	2	5	2	3	2	4	0	4	13001	0	0	27029	27034	0	0	0	0	0	0	0	0	0
Vệ Sĩ Kh.Vàng	1	10112	1021	1001	870444444	267247444	444444236	444444444	0	1	1	11	64	82	4	2	1	6	4	5	4	0	2	11001	0	0	26002	26058	26058	0	0	0	0	0	0	0	0
ThuậtSĩ.KhVàng	1	10113	1005	1001	552444454	222741444	444444642	444444444	0	1	1	12	57	94	2	5	7	4	3	3	4	0	1	10002	0	0	26002	26002	26115	46018	0	0	0	0	0	0	0
Huỳnh Ðại Sĩ	1	10114	1005	1001	552444555	611414444	444444414	444444444	0	1	3	14	77	92	6	4	6	5	5	3	4	0	3	12002	0	0	27036	26115	27046	50001	0	0	0	0	0	0	0
Tướng Kh.Vàng	1	10115	1007	1001	552333544	414744444	444444424	444444444	0	1	4	60	364	219	24	15	10	35	29	12	4	0	3	12006	0	0	26065	26081	27019	0	0	0	0	0	0	0	0
Ch.Sĩ Kh.Vàng	1	10116	1007	1001	551444444	232870444	444444444	444444444	0	1	6	17	90	90	7	2	2	10	9	4	4	0	1	10003	0	0	26169	26169	27035	0	0	0	0	0	0	0	0
Hãn Ðấu Binh	1	10117	1196	1001	550444333	569460444	444444460	444444444	0	1	6	57	288	209	23	14	5	26	24	21	4	0	4	13004	0	0	27042	27043	27042	40006	0	0	0	0	0	0	0
KiênBinh KVàng	1	10118	1007	1001	551444344	246246444	444444246	444444444	0	1	7	21	124	92	12	1	2	12	8	7	4	0	2	11003	0	0	27046	27034	0	33003	0	0	0	0	0	0	0
Huỳnh Ðại Binh	1	10119	1007	1001	552111444	662772444	444444444	444444444	0	1	2	26	142	143	10	11	6	13	10	5	4	0	1	10003	0	0	26053	26053	26053	0	0	0	0	0	0	0	0
Thiên Thánh Sĩ	1	10120	1066	1001	444455444	444455444	444444025	444444444	0	0	0	98	757	414	39	25	46	36	35	15	4	0	2	11011	0	0	32026	32026	26252	0	0	0	0	0	0	0	0
Quỷ Vệ Binh	1	10121	1064	1001	552444554	138235544	256444356	444444444	0	1	5	30	151	118	12	4	6	18	12	8	4	0	2	11003	0	0	26051	27055	0	0	0	0	0	0	0	0	0
Hổ Bình Dương	1	10122	1147	1001	550444544	510611550	444444511	444444444	0	0	0	72	548	303	29	17	4	39	35	18	4	0	3	12006	0	0	27075	27075	26234	0	0	0	0	0	0	0	0
Quỷ Sư	1	10123	1003	1001	661444333	147467358	661444135	444444444	0	2	5	73	556	314	29	18	28	30	19	19	4	0	2	11003	0	0	26234	26234	27075	0	0	0	0	0	0	0	0
Linh Ma Tím	1	10124	1064	1001	552444555	627525661	316444414	444444444	0	1	1	60	364	223	24	15	26	9	28	23	4	0	2	11005	0	0	26079	27018	0	0	0	0	0	0	0	0	0
Binh Lang	1	10125	1007	1001	553222334	553222444	444444444	444444444	0	1	2	20	108	94	9	2	1	12	6	10	4	0	1	10002	0	0	26165	27066	39013	33003	0	0	0	0	0	0	0
Lính Lang	1	10126	1007	1001	552444455	146568444	444444256	444444444	0	1	2	48	313	182	19	11	3	28	14	19	4	0	2	11005	0	0	26034	27046	0	0	0	0	0	0	0	0	0
Binh Lang Nha	1	10127	1007	1001	552444445	641741444	444444641	444444444	0	1	4	38	204	139	18	6	3	18	10	21	4	0	3	12002	0	0	26036	26101	0	0	0	0	0	0	0	0	0
Lang Sư	1	10128	1007	1001	552333453	464464444	444444363	444444444	0	1	7	44	212	138	16	4	6	21	9	32	4	0	4	13004	0	0	26084	26084	40014	0	40006	0	0	0	0	0	0
Quân Lang Nha	1	10129	1007	1001	552444554	535256444	444444456	444444444	0	1	3	60	364	218	24	14	9	27	22	29	4	0	2	11005	0	0	26081	27047	0	0	0	0	0	0	0	0	0
Tử Sĩ	1	10130	1005	1001	552444565	414333444	444444444	444444444	0	1	1	20	112	94	10	2	3	10	12	3	4	0	3	12001	0	0	26165	27066	26039	0	0	0	0	0	0	0	0
Sĩ Cẩm Tử	1	10131	1147	1001	511444444	511622356	444444346	444444444	0	0	0	99	963	335	40	23	3	59	57	13	4	0	3	12006	0	0	26095	26096	27072	0	0	0	0	0	0	0	0
Sĩ Bóng Tử	1	10132	1005	1001	552444454	551626444	444444626	444444444	0	1	5	40	221	137	20	5	4	21	18	12	4	0	1	10006	0	0	27066	27066	27066	46016	0	0	0	0	0	0	0
Linh Sĩ	1	10133	1021	1001	981444555	556363444	444444363	444444444	0	1	6	50	241	193	18	13	21	21	12	17	4	0	2	11005	0	0	26055	26100	26100	0	24028	0	0	0	0	0	0
Binh Linh Nha	1	10134	1021	1001	981444555	811871444	444444444	444444444	0	1	3	60	364	225	24	16	34	6	24	21	4	0	3	12006	0	0	26083	27025	27025	0	0	0	0	0	0	0	0
Binh Nộ Giáp	1	10135	1007	1001	522444555	722262444	444444622	444444444	0	1	5	96	740	328	38	23	8	53	25	42	4	0	3	12005	0	0	26070	26071	26011	46016	0	0	0	0	0	0	0
