id 	dialog 
10103	Vô danh tiểu tốt,  ta mới không bận tâm đến . Ðây là địa hạ mê công,  đừng trách ta không nói cho ngươi biết .......hahaha! 
10104	Lạ thật,  ngươi chạy đi đâu rồi ?
10105	Haha . Tiểu tử,  không nghe lời thì đến được chứ không đi được đâu!
10106	Nơi đây là Bắc Hải.
10107	Quận Thủ có lệnh,  ra thành thì không thể vào đây trực tiếp nữa.
10108	Thời tiết tốt nhỉ , đi dạo phố thôi!
10109	Ngươi bạn trẻ đừng đi ngang đụng thẳng,  coi chừng cái thân già này.
10110	Ðây là thành Ðông Quận
10111	Ðừng lôi thôi nữa.
10112	Ðộng Thần Quỷ là bình cản thiên nhiên của Bắc Hải
10113	Gần vùng bình nguyên có sự xuất hiện của Khăn vàng,  ngươi cần cẩn thận.
10114	Lão chết tiệt !
10115	Thiên cơ không thể tiết lộ! 
10116	Anh trai tôi là binh lính ở Lương châu,  nghe nói binh Khương Trục ở đó hung ác dị thường,  tôi thật lo lắng cho hắn! 
10117	Mấy chục năm nay triều đình không ngừng dùng binh đối phó người Khương,  hoan phí khó có thể tính,  hại bá tánh chúng tôi phải khổ sở! 
10118	Lão không gạt người đâu,  màu cải nơi đây rất có tiếng .
10119	Những nông dân làm việc trong quan điền chúng tôi, mỗi năm phải giao một nửa thu họach cho quan phủ, thu thuế quả thật hà khắc đó! 
10120	Trước cửa Hòang cung có rất nhiều binh sĩ tuần tra, không biết đã xảy ra chuyện gì.
10121	Ðừng quá nhiều chuyện,  tránh chuốc họa vào thân.
10122	Ðến đây,  uống một lý với lão.
10123	Tiểu nhị,  đến tính tiền.
10124	Nghe nói trông địa động Thái Sơn có chuyện lạ.
10125	Tôi từng đi qua bên ngoài trại Bắc Phương,  người Ô Hằng ở đó, ai ai cũng tinh thông thuật cỡi ngựa! 
10126	Giao thông của Bắc Hải không mấy thuận tiện, ra thành thì khó có thể trở về.
10127	Ngươi biết rằng cáo quan phải đánh ba mươi trượng trước không ?
10128	Ngươi không biết cáo quan phải đánh ba mươi trượng trước không ?
10129	Hahaha,  cái cửu quan phủ gì,  từ hiện giờ trở đi tôi là Huyện lão gia.
10130	Tôi là một quan viên khá liêm khiết,  ngươi đừng hòng hối lộ ta.
10131	Tôi là một quan viên khá liêm khiết,  ngươi đừng hòng hối lộ ta.
10132	Tiệm chúng tôi có tiếng đã lâu, trong tiệm bán tòan là lọai dược thượng đẳng.
10133	Hihi!  Tôi từ đó đến giờ không bao giờ dối trá.
10134	Khách quan, người muốn dùng trà gì ?
10135	Quận Thủ có lệnh,  ra thành thì không thể vào đây trực tiếp nữa.
10136	Xác định
10137	Tôi hối hận rồi.
10138	Ngòai nhà tôi có trồng một số thuốc tiên,  ngươi đem đi sẽ có thể giúp ngươi .
10139	Tôi không dễ mới đến được nơi đây,  đại sư có thể chỉ giúp tôi đôi điều,  để tôi không sai đường lạc lối.
10140	Tùy tiện như thế muốn mở thùng báu vật,  ngươi cũng quá không xem tôi ra gì rồi. Ăn đòn trước đi.
10141	Haha! nhóc con, về nhà uống sữa trước đi.
10142	Nghe nói luật lệ trong hòang cung tương đối nghiêm khắc! 
10143	Phong cảnh Ðào Viên ưu mỹ, thật là một nơi tốt để thưởng ngoạn! 
10144	Giúp tôi kiếm mấy ngươi bạn cùng chí hứong đến, tôi sẽ có hồi báo.
10145	Lúc trước ở quê, tôi đã giết tên ác bá, bị truy nã mới trốn đến nơi này, người không quen đường không thuộc, ngươi đồng ý làm bạn với tôi không?
10146	Trông lọan thế muốn bảo vệ bản thân, tôi cũng không trách ngươi.
10147	Ngươi rất có dũng khí, dám giáo huấn bọn Ðốc Du ác. Tôi nguyện gia nhập đội ngũ của ngươi, không biết ý của ngươi như thế nào?
10148	Hớ!  Tâm cao khí ngạo,  tôi thấy ngươi cũng không làm được việc lớn gì đâu! 
10149	Ngươi đã là đội ngũ với Lưu Quan Trương, nghĩ chắc sẽ là anh hùng một phương, tôi có một lá thư cho ngươi, tin rằng sau này nhất định sẽ có dụng lớn.
10150	Hớ! 
10151	Ohh,  ngươi có thư giới thiệu của Công Tôn đại nhân, được!  Triệu Vân tôi nguyện cùng các vị vào sa trường,  vì nước xả thân. 
10152	Ngươi là cái tên ác danh Ðốc Du Thiệu Trương hả ? 
10153	Hớ!  Ðúng là tôi,  thì sao,  muốn bị đòn hả! 
10154	Ðánh nó 
10155	Tha cho hắn
10156	Dám chống đối với ta? Thật là tiểu tử không biết trời cao đất rộng! 
10157	Ðại hiệp xin đừng đánh tôi! Sau khi bị hắn bắt, đến bây giờ tôi vẫn còn bị đau lưng .
10158	Kém cỏi như vậy mà dám xông vào đây, thật là nực cười! Về luyện thêm vài năm nữa đi! 
10159	Ðặng Mậu mai danh ẩn tích nơi này.
10160	Ðặng mỗ mai danh ẩn tích nơi nào.
10161	Thì ra mẹ tôi nhờ ngươi tới tìm ta. Vậy làm phiền ngươi nói với mẹ ta rằng tôi phải đi trổ tài cho thiên hạ.
10162	A! thì ra con tôi ở đào viên, vậy thì lão đã an tâm, thật vất vả cho tiểu huynh đệ, ta tặng ngươi 1 ít thảo dược, mang trên người có lẽ sẽ có ích. 
10163	Ngươi đã giúp ta tìm được chưa?
10164	Chỉ là 1 cây đao nhỏ thôi àh....
10165	Ðừng có coi thường, nếu khi gặp bọn tặc, mi sẽ thấy được hữu dụng của đó! 
10166	Hớ! 
10167	Ông có phải là chủ nhân mà tôi đã đợi 1 thời gian dài không? Xin hãy cho tôi gia nhập cùng để bình yên thiên hạ!
10168	Chuyện nhỏ như vậy đừng có phiền tôi...
10169	Thật là cám ơn ông.Chỉ là việc nhỏ thôi đừng khách khí.
10170	Vậy thì làm phiền ông! 
10171	Cám ơn ngươi trước đó đã giúp ta tìm được đàn hương mộc!
10172	Tôi lớn hơn em tôi 5 tuổi và tuổi tôi cộng với tuổi em tôi là 45. Vậy ngươi có biết em tôi mấy tuổi không?
10173	Mười lăm tuổi
10174	Mười tám tuổi
10175	Hai mươi tuổi 
10176	Hai mươi bốn tuổi
10177	Nói đúng đấy! thấy ngươi tràn đầy trí tuệ, vậy tôi theo người là đúng rồi.
10178	Ngươi tính sai rồi đó! 
10179	Tiền? Trước đó ta không phải đã đưa cho ngươi rồi sao?
10180	Ba huynh đệ chúng ta có duyên nên kết nhgĩa, nhờ sự tương trợ tận lực của thiếu hiệp, tin rằng sau này sẽ có ngày gặp lại, cùng sát cánh chiến đấu
10181	Cuối cùng cũng kiếm được một huynh đệ chí đồng đạo hợp
10182	Tôi......tôi mừng quá đây! 
10183	Ðược rồi! 
10184	Ngươi  thuộc đẳng cấp nào! 
10185	Ê, ê, ê có chuyện không hay rồi! 
10186	Sao rồi ? Vợ ngươi sắp sanh rồi hả ?
10187	Ðừng nói bậy, có rất nhiều người để ý Lưu Thượng Thư-Lô Trực, ngươi có hiểu không?
10188	Ðương nhiên là biết! Hắn là thầy giáo của Lưu Bị mà! Gần đây không phải dẫn binh đánh quân khăn vàng sao?
10189	Nhưng mà, ta nghe nói, bởi vì hắn không hối lộ thái giám Tả Phong nên bị mấy người đó hãm hại, bắt đi rồi! 
10190	Có chuyện này sao? Thật đáng ghét! 
10191	Ðúng rồi! Ðầu năm nay ai dám trêu ghẹo quan quyền ? Chỉ sợ Lưu Thượng Thư khổ thôi.
10192	Cũng không biết đã bị bắt đâu nữa? Chẳng lẽ thiên hạ không có chi sĩ chính nghĩa có thể cứu giúp sao?
10193	Hình như là ở quan phủ Bình nguyên.
10194	Ðúng là gian thần đương đạo, vậy bá tánh chúng tôi làm sao mà sống?
10195	Suỵt! Nhỏ tiếng thôi, cho người ta nghe được, cẩn thận đầu của ngươi đấy! 
10196	Ay! Quan tốt như Lô Thượng Thứ không ngờ lại bị bắt tra tấn! Mấy quan binh kia hành hạ hắn, không biết Lô Thượng Thứ còn sống hay không?
10197	Lô Thượng Thư bị bắt tới đây, phải không?
10198	Ê! nhóc, ngươi hỏi tù nhân Lô Trực muốn gì vậy?
10199	Thanh quan như Lô Thượng Thư đây, Tả Phong ngươi lấy tư cách gì mà hãm hại, hôm nay ta sẽ thay trời hành đạo! 
10200	Muốn xông vào ư? Người đâu! Bắt hắn cho ta!
10201	Hứ! Gan mi cũng không nhỏ há, dám tới cướp ngục à? hãy cút ra ngoài cho ta.
10202	Thiếu hiệp, hãy tha mạng! Nghìn sai vạn sai cũng là tôi sai, tôi không nên lấy hối lộ! Ngài có đưa Lô Thuợng Thư đi, tiểu nhân sẽ không dám nữa! 
10203	Người bạn trẻ, cảm ơn ngươi. Chuyện gì cũng cần chú ý cẩn thận, thiên hạ còn phải nhờ ngươi đó.  
10204	Lô đại nhân đã đi rồi, tráng sĩ ngươi đừng tới mà làm phiền ta nữa .
10205	Ðại gia, ngài làm việc tốt, tôi đã 3 ngày không ăn cơm, hãy cho tôi 1 tí ngân lượng được không?
10206	Người thật tốt bụng, mai này nhất định sẽ thành tài! 
10207	Người thanh niên kia, vừa rồi ta đã nhìn thấy, trong thời loạn thế khó có được người lương thiện như ngươi. 
10208	Ðâu có gì! 
10209	Nó không thể xin ăn được lâu nữa. Nghe nói nó có cô, tên Ngô đại nương ở thành Ðông Quận, anh có đồng ý dẫn hắn đi tìm người thân không?
10210	Y! đây không phải là Chó Con sao mà vào đây! là vị thiếu hiệp này dẫn ngươi đến sao?
10211	Dạ vâng! Là một vị Ngô đại nương nhờ anh ấy dẫn con tới tìm cô cô đó.
10212	Thiếu hiệp giúp đỡ cháu của chúng tôi nhiều quá, đây (Bùa chú Tử Huyết Quang), xem như 1 ít tâm ý của lão thân vậy?
10213	Ðồng ý
10214	Không đồng ý
10215	10 vàng
10216	20 vàng
10217	30 vàng
10218	40 vàng
10219	Quá ít rồi đó! 
10220	Thật không đủ rộng rải chút nào! 
10221	Quá nhiều rồi tôi không thể nhận.
10222	Ai da! Nóng quá à! 
10223	Khạc......khạc......khạc
10224	Ý? Hình như có cái tiếng gì kì lạ.
10225	Thì ra ở đây có một hố Thạch Môn bí mật!
10226	Cô cô ......tôi cuối cùng đã tìm được cô rồi
10227	 ......
10228	Sao ngươi xem ra có vẻ ưu sầu quá vậy.
10229	Hương Hương cô ấy bị Kim Vô Lại bắt vào thành để thành thân! Tôi chỉ là 1 thư sinh làm sao đánh lại họ. Bạn có thể giúp tôi được không? 
10230	Tùy rằng ta rất đẹp trai, ngươi cũng không cần nhìn ta như thế chứ?
10231	Quả nhiên là tên vô lại, đáng đánh! 
10232	Ngươi đừng đánh nữa! đau quá, ta sẽ đi méc mẫu thân, mi cứ ăn hiếp ta hòai! 
10233	Cái gì, chưa từng nghe qua ở Diệp Thành có người tên là Kim Vô Lạii? hứm...
10234	Thật cám ơn ngươi.Ðây là bảo vật mà tổ tiên truyền lại(Giầy Hành Vân) ,ngài hãy nhận đi.Ở trong lòng tôi, Hương Hương đối với tôi còn quan trọng hơn .
10235	(nghĩ trong lòng...) Vị đại ca này võ nghệ thật cao cừong! Lý Lang của tôi........
10236	Cô nương phải là Hương Huơng không? Tôi là bạn của Lý đại ca, tôi tới để cứu cô, cô đi theo tôi nào! 
10237	Họ thật ân ái, thật làm người ta hâm mộ! Ài! Mùa xuân của tôi ở đâu vậy ?
10238	Nghe nói thiên hạ có 3 đại mỹ nhân: Ðiêu Thuyền, Ðại Kiều và Tiểu Kiều, nhưng họ khó tìm! 
10239	Sẵn dịp cô cô không có ở đây, ta trốn ra ngòai chơi, bởi vì ta nhớ mấy anh quân Khăn Vàng ở nơi đó!   
10240	Nhờ phước của ngài, chúng tôi đã thành thân, Hương Hương đã về quê nhà để sanh .
10241	Ngươi đi đi, nếu có duyên sau này nhất định sẽ gặp lại mặt.
10242	Quán trọ này giấu kẻ cướp, phụng mệnh của quan phủ, đã bị phông tỏa. Nhưng vì kế bên là võ trường, người thì nhiều cho nên ta mượn để buôn bán.
10243	Tám phần lại phải chiến họa rồi.
10244	Vị tráng sỹ này có chuyện chi không?
10245	Không có gì, chỉ vào xem mà thôi.
10246	Ta thấy ngươi thiên đình bao mãn, tướng mạo rất tốt, tương lai nhất định sẽ thành đạt.
10247	Thật không vậy? Vậy nhờ miệng vàng của ngài
10248	Khạc! Khạc..........xin lỗi sức khỏe tôi không được tốt, già rồi vô dụng. Ngươi có giữ một ít thuốc trên người không?
10249	Có
10250	Không có
10251	Cảm ơn
10252	Ngươi quả nhiên có tấm lòng tốt, dùng loại thuốc tốt như thế để giúp đỡ ngươi khác. Tôi là Trần Ðăng hi vọng ngươi có thể làm việc dưới minh chủ.
10253	Có Trần Ðăng tiên sinh giúp tôi, việc lớn sẽ thành thôi.
10254	Người huynh đệ tốt của ta Triệu Vân ở Thường Sơn, hắn là nhân vật bất phàm! Ta có bức thư đưa cho hắn, hắn sẽ nể mặt ta mà tận lực tương trợ ngươi.
10255	Cam cô nương trong làng bị bắt đi Lô Long Khẩu rồi.
10256	Cam cô nương đã không còn ở nơi này rồi.
10257	Vậy bọn ngươi đã dấu hắn ở chỗ nào rồi, nói mau, nếu không ta sẽ không bỏ qua cho chúng bay đấy.
10258	Nghe nói Cao Thăng đại nhân đưa hắn tới bến tàu biển Lạc Hải, có thể ra biển chạy về Thanh Châu.
10259	A! Ðây đúng là thư của chính tay Công Tôn Huynh viết, nhưng mà...... 
10260	Ngươi cầm bức thư này đi, hắn xem qua rồi sẽ hiểu, ta tin hắn sẽ trợ giúp ngươi một tay
10261	Cám ơn sự trợ giúp của ngươi.
10262	Nhờ anh gíup mà tôi được tự do, nói cho anh một bí mật, cha ta từng nói ngòai biển có một núi tiên, rất nhiều bảo vật nhưng rất khó tìm! 
10263	E! Ðừng tùy tiện mà chạy qua nhà người ta! 
10264	Thư hồi hôn không phải đưa cho ngươi rồi sao, đừng cho tôi thấy ngươi nữa.
10265	Thành này vì loạn chiến đã trở thành bãi hoang tàn, cơ duyên của ngươi chưa tới, không thể vô được! 
10266	Phía Bắc Giới Kiều là Ðịa giới của U Châu ta, Công Tôn gia không thể cho ngươi dẫm vào một bước! 
10267	Hahaha! Trước sau gì ta cũng phải diệt tiểu tử Công Tôn và Tào Tháo, ta sẽ lấy ngươi tế cờ vậy! 
10268	Dực Châu vốn là thủ địa của ta, ai dám xông vào chỉ có con đường chết! 
10269	Hứ! Muốn qua cầu, vậy hãy lấy bản lĩnh ra xem nào! 
10270	Ta vốn là gian hùng của loạn thế, Diệp Thành là nơi cần canh giữ, ta phải hạ hắn mà thôi! 
10271	Hahaha! Về văn ta có thủ hạ Qúach Gia, về võ có Hạ Hầu huyng đệ, Hứa Chử, Ðiển Vi .Ngươi tới chỉ có chết thôi! 
10272	Thiên hạ không có buổi tiệc nào mà không tan, duyên phận Trần Ðăng đại nhân và ngươi đã hết, không nên miễn cưỡng
10273	Ta là người già đơn độc........
10274	Không tham lam là mỹ đức.
10275	Làm người đừng nên quá tham lam
10276	Thì ra vị này mới là Hạng Lão Bác đích thực
10277	Thế gian thật thật giả giả, giả giả thật thật, đừng để tâm.
10278	Ðã đến nước này rồi, ngươi đừng hòng trở về
10279	Ðường này không thông, có đi cũng o có đường về 
10280	Mau đi kêu Quan Vũ, Trương Phi hai tiểu tử ngốc đó đi lấy binh khí, chỉ nhờ tay không, là không thể tạo ra danh tiếng đâu.
10281	Hứ! Cái gì mà dữ vậy, sau này ta phải làm ra một tuyệt thế bảo đao! 
10282	"Phu anh hùng: Phải có đại chí, phải có lương mỗ, nuốt lẫn trời đất chi trí giả."
10283	Vậy dám hỏi tiên sinh, có ai xứng đáng với 2 chữ (Anh Hùng)
10284	Nay anh hùng thiên hạ, chỉ Sứ Quân và Tôi.
10285	Tôi..........à? Phải nói tôi không?
10286	Haha! Ngươi đoán đúng rồi. Ta quả thật không nhìn lầm, ngươi không phải người thường, những ngày ở chiến trường quyết định thắng thua thôi.
10287	Chí Nuốt Lẫn Thiên Ðịa.......chẳng lẽ hắn là.........
10288	Y! Sao không thấy rồi. Hắn quả thật là cao tâm mạc trác, là ngươi có tâm cơ cực kỳ!
10289	Tào Tháo
10290	Lưu Bị
10291	Tôn Quyền
10292	Trương Giác
10293	Lịch sử Tam Quốc của ngươi cần tăng cường đó! 
10294	Không phải đâu
10295	Sai quá rồi! 
10296	Ðóng cửa đánh chó! 
10297	Có! 
10298	Ðánh cho ta! 
10299	Hành tung binh tặc linh hoạt, chạy bốn phương, làm người đau đầu! thám tử hồi báo, bọn chúng phân ra ẩn ở Thường Sơn và trong Triều Ca sơn động.
10300	(Ta có cần giúp hắn giải quyết vấn đề không?)
10301	Ta tuy là một thừong dân, nhưng cũng có tâm vì nước vì dân, nguyện vì đại nhân gớp chút sức lực, ( Ồ! Ngươi sao nói ra những lời nói thấy ghét thế)
10302	Cáo biệt, ngươi từ từ làm đi, ta về trước đây.
10303	Vậy ta lập tức viết 1 bức thư, ngươi đến thành Bình Nguyên tìm Công Tôn Qùynh, nể mặt ta, tới chừng đó ông ta sẽ tung binh tương trợ! 
10304	Có chuyện gì trước cửa thành sẽ có cáo thị, không có chuyện gì đừng lang thang tới quan phủ .
10305	Nghe thám tử nói, Khói Lục đã là đại bản doanh của khăn vàng, muốn vào thành, trừ khi gia nhập vào bọn hắn mới được! 
10306	Tình hình ở ngòai thành không rõ lắm, hay là ta kêu 1 nguời tin tưởng đưa ngươi đi! 
10307	Cần 100 vàng
10308	Ê! Lưu Nhiên đại nhân quả nhiên có khí hán bảo chung thân! 
10309	(Nghĩ thầm) khăn vàng ở đây của ta đã đủ đau đầu rồi, vậy có binh lính đi giúp Lưu Yên không? không biết như vậy được không.............
10310	A! Lưu Nhiên huynh bị bao vây, chắc có chuyện gắp.
10311	Ưm! Ðúng rồi, đây chính là thư từ tay Công Tôn huynh viết.
10312	Tử Long à, đây là thời cơ tốt cho ngươi phát huy, ngươi và vị anh hùng này cùng đi đi! 
10313	Mẹ! Con đi đây, mẹ phải bảo trọng đấy.
10314	Chỉ có con ta mới biết đường đi Thường Sơn sơn động, có thể dẫn ngươi vào.
10315	Ai dám xông vào địa bàn của Viên Thiệu ta, mấy con ơi, tiến lên nào! 
10316	Hôm nay phải giành lại danh tiếng của Viên gia ta! 
10317	Chào  quan khách, có cần chi không ạ?
10318	Nạp mạng đây! 
10319	Nghe nói Tiều Quận có thằng nhóc thông minh, tên là Tào A Mãn, không ngờ dùng giả phông chung gạt chú hắn, thật không biết nên mắng hắn hay khen hắn 
10320	Nghịch tặc náo lọan, nếu Tôn Kiên đại nhân ở đây thì tốt, năm xưa ông ta đối phó giả hòang đế Hứa Xương, chỉ 1 tháng là diệt hết kẻ thù rồi.
10321	Ê....ngươi biết không? gã đại ác bá Giải Lương, nghe nói bị người mặt đỏ mày râu, tên là Quan Vũ giết chết. Thật là mát lòng người! 
10322	Thường nghe nói là Lạc Dương phồn hoa vô cùng, nhân khẩu trăm vạn, ta cũng muốn đi xem xem! 
10323	Ðã bảo ngươi đừng đi mà ngươi cứ đi! Tên Lưu Bị kia không đọc sách, chỉ biết qua lại với những người giang hồ, người hảy ít đí với hắn đi
