name 	type 	id 	sp_cost	elem 	unk3 	unk4 	grade 	skill_type 	nb_target 	unk8 	delay 	state 	unk11 	unk12 	sk_point 	unk14 	max_lvl 	require_sk 	unk17 	unk18 	unk19 	unk20 	unk21 	unk22 	desc
Khu Tượng Ðột	1	10023	54	1	7367083	0	8	2	6	0	27	0	1	1	13	1	10	10024	0	1	0	2	1	0	Dùng voi lớn để tấn công.
Hoành Tảo Thiên Quân	1	10024	48	1	7367083	0	7	2	7	0	27	0	1	1	9	1	10	10022	0	1	0	2	1	0	Tấn công địch bằng đá gỗ.
Thổ Băng Trận	1	10025	46	1	7367083	0	1	15	3	1	17	177	1	1	11	1	5	10021	0	1	0	2	1	0	Làm sạt lở đất để ngăn địch.
Linh Kính	1	10026	50	1	7367083	0	6	4	1	1	17	110	1	1	15	1	5	10025	0	1	0	2	1	0	Phản xạ khí địa linh.
Vô Gian Chấn Ba	1	10027	56	1	7367083	0	10	2	1	0	34	0	1	1	8	1	10	10011	0	2	0	3	1	0	Dùng lực ép dẹp đich thủ
Cát Thiên Hồn Phủ	1	10028	52	1	7367083	0	12	1	1	0	30	0	1	1	8	1	10	10021	1	2	0	3	1	0	Lấy rìu thần Bàn Cổ tấn công
Lưu Tinh Thiết Pháo	1	10029	56	1	7367083	0	1	1	3	0	27	0	1	1	7	1	10	10005	2	2	0	3	1	0	Phóng Thiết Pháo về địch
Lang Tinh Pháo	1	10030	44	1	7367083	0	11	2	6	0	30	0	1	1	10	1	10	10008	0	2	0	3	1	0	Bắn đạn nổ vào địch
Kim Chung Tráo	1	10031	56	1	7367083	0	10	4	1	0	35	115	1	1	12	1	10	10015	0	2	0	3	1	0	Phòng thủ nghiêm ngặt
ChiếnTượngTrùngPhong	1	10032	72	1	7367083	0	10	2	8	0	35	0	1	1	8	1	10	10013	0	2	0	3	1	0	Dùng chiến tượng đột kích địch
Sa Bộc Cầm	1	10033	44	1	7367083	0	10	3	1	2	30	3	1	1	8	1	5	10025	0	2	0	3	1	0	Biến thành Bộc Cầm bắt địch
Ðồ Nham Vương Sát	1	10034	84	1	7367083	0	14	2	8	2	34	181	1	1	15	1	10	10024	0	2	0	3	1	0	Quỷ Vương thôn tính
Sa bạo chi loạn	1	10035	67	1	7367083	0	1	20	1	0	19	0	0	0	0	0	5	0	0	0	0	0	3	0	Dùng skill Int ngẫu nhiên
Sa khau chi vũ	1	10036	65	1	7367083	0	1	20	1	0	19	0	0	0	0	0	5	0	0	0	0	0	3	0	Dùng skill Atk ngẫu nhiên
Thuật nước ngập	2	11001	8	2	7367083	0	1	2	1	0	19	0	1	1	1	1	10	0	0	0	0	1	1	0	Gọi nước lũ làm ngập quân địch
Băng tường	2	11002	11	2	7367083	0	2	4	1	2	20	104	1	1	4	1	5	11001	0	0	0	1	1	0	Tạo bức tường băng để bảo vệ
Băng kiếm	2	11003	12	2	7367083	0	2	1	1	0	19	0	1	1	3	1	10	11001	2	0	0	1	1	0	Tạo băng kiếm để tấn công
Thanh lưu	2	11004	22	2	7367083	0	2	14	1	0	35	0	1	1	6	1	10	11002	0	0	0	1	1	0	Nước thần hồi phục HP và SP
Dũng tuyền	2	11005	18	2	7367083	0	3	1	1	0	20	0	1	1	5	1	10	11003	1	0	0	1	1	0	Gọi nước để tấn công
Thuật hồi ma	2	11006	35	2	7367083	0	6	6	1	0	30	0	1	1	8	1	10	11004	0	0	0	1	1	0	Phép hồi phục SP
Thuật trị liệu	2	11007	35	2	7367083	0	6	7	1	0	27	0	1	1	8	1	10	11004	0	0	0	1	1	0	Phép hồi phục HP
Hồng thủy	2	11008	26	2	7367083	0	4	2	7	0	29	0	1	1	8	1	10	11005	0	0	0	1	1	0	Gọi đại hồng thủy để tấn công
Toàn hồi ma thuật	2	11009	40	2	7367083	0	5	6	1	0	19	0	1	1	9	1	10	11006	0	0	0	1	1	0	Phép hồi phục tòan bộ SP
Toàn trị liệu thuật	2	11010	42	2	7367083	0	5	7	1	0	20	0	1	1	9	1	10	11007	0	0	0	1	1	0	Phép hồi phục tòan bộ HP
Băng đá	2	11011	32	2	7367083	0	5	2	5	0	37	0	1	1	9	1	10	11008	0	0	0	1	1	0	Phép mưa sao băng
Trạng thái giải trừ	2	11012	15	2	7367083	0	6	5	1	0	29	0	1	1	12	1	1	11009	0	0	0	1	1	0	Phép tự giải trừ
Thuật hồi sinh	2	11013	40	2	7367083	0	6	8	1	0	30	0	1	1	12	1	10	11010	0	0	0	1	1	0	Phép cứu sống 
Băng phong	2	11014	40	2	7367083	0	6	3	1	1	27	1	1	1	16	1	10	11011	0	0	0	1	1	0	Ðóng băng để trói kẻ thù
Băng tan	2	11015	10	2	7367083	0	6	5	1	0	35	0	1	1	1	1	1	11011	0	0	0	1	1	0	Phép phá giải băng phong
Thủy thần	2	11016	120	2	7367083	0	1	18	3	0	78	0	1	245	0	1	10	0	0	0	0	0	1	0	Gọi thủy thần hiện thân
Gọi tiểu trung thủy	2	11017	120	2	7367083	0	2	2	6	0	78	0	1	0	0	1	1	0	0	0	0	0	0	0	N/A
Gọi trung thủy	2	11018	120	2	7367083	0	2	2	6	0	78	0	1	0	0	1	1	0	0	0	0	0	0	0	N/A
Gọi đại thủy	2	11019	120	2	7367083	0	3	2	8	0	78	0	1	0	0	1	1	0	0	0	0	0	0	0	N/A
Băng Tâm Quyết	2	11020	0	2	7367083	0	1	19	1	0	0	0	0	0	1	1	10	0	0	1	0	2	0	0	Tâm pháp thu khí Thủy linh.
Băng Tuyền Trảm	2	11021	24	2	7367083	0	3	1	1	0	25	0	1	1	7	1	10	11020	2	1	0	2	1	0	Băng xoắn ốc xoáy nát địch
Băng Phách Chùy	2	11022	30	2	7367083	0	4	1	1	0	25	0	1	1	9	1	10	11021	1	1	0	2	1	0	Ðóng băng chớp nhoáng.
Sương Hàn Ðống Liệt	2	11023	50	2	7367083	0	3	2	8	0	33	0	1	1	12	1	10	11022	0	1	0	2	1	0	Hơi đóng băng chớp nhoáng.
Minh Kính Chỉ Thủy	2	11024	45	2	7367083	0	1	19	1	1	31	53	1	1	10	1	5	11020	0	1	0	2	1	0	Nước suối tiên giúp tĩnh tâm.
Tiến Giai Trạng Giải	2	11025	48	2	7367083	0	6	5	3	0	30	0	1	1	15	1	1	11024	0	1	0	2	1	0	Tĩnh tâm hoàn toàn.
Diệu Thủ Hồi Xuân	2	11026	72	2	7367083	0	2	14	1	0	33	0	1	1	15	1	10	11025	0	1	0	2	1	0	Hút nước Thiên để trị thương.
Thiên Hồi Băng Vũ	2	11027	52	2	7367083	0	6	1	1	0	30	1	1	1	5	1	5	11014	2	2	0	3	1	0	Băng đao hồi thiên bay lượng
Sương Lôi Quyền	2	11028	52	2	7367083	0	7	1	1	0	33	1	1	1	5	1	5	11014	1	2	0	3	1	0	Xuyên huyệt đạo địch phá hoại
Siêu Hồi Ma Thuật	2	11029	60	2	7367083	0	8	6	1	0	34	0	1	1	7	1	10	11009	0	2	0	3	1	0	Ma lực Thuỷ Thần hồi phục mạnh
Thiên Giáng Cam Lâm	2	11030	72	2	7367083	0	10	14	1	0	18	0	1	1	7	1	10	11010	0	2	0	3	1	0	Tiên Lộ Cam Lâm trị bách bệnh
SiêuTrạng Giải Thuật	2	11031	60	2	7367083	0	8	5	6	0	23	0	1	1	15	1	1	11025	0	2	0	3	1	0	Thay cảnh trần tục trước mắt
Minh Hà Vô Tưởng	2	11032	52	2	7367083	0	15	19	1	0	30	53	1	1	10	1	5	11024	0	2	0	3	1	0	Hướng đến cảnh giới vô tưởng
Trảm Kỵ Nhất Thiểm	2	11033	60	2	7367083	0	13	1	1	0	30	0	1	1	9	1	10	11022	1	2	0	3	1	0	Buốt thấu xương
Lục Hồi Thiên BăngVũ	2	11034	84	2	7367083	0	9	2	8	0	27	0	1	1	14	1	10	11023	0	2	0	3	1	0	Cự băng bay lượn đầy trời
Hải đào chi loạn	2	11035	67	2	7367083	0	1	20	1	0	19	0	0	0	0	0	5	0	0	0	0	0	3	0	Dùng skill Atk ngẫu nhiên
Thuỷ triều chi vũ	2	11036	65	2	7367083	0	1	20	1	0	19	0	0	0	0	0	5	0	0	0	0	0	3	0	Dùng skill Int ngẫu nhiên
Thuật phóng hỏa	3	12001	9	3	7367083	0	1	2	1	0	20	0	1	1	1	1	10	0	0	0	0	1	1	0	Phóng hỏa để tấn công kẻ thù
Liệt hỏa	3	12002	12	3	7367083	0	2	2	1	0	15	0	1	1	3	1	10	12001	0	0	0	1	1	0	Tăng hỏa lực để tấn công
Hỏa tiễn	3	12003	15	3	7367083	0	2	1	3	0	15	0	1	1	4	1	10	12001	2	0	0	1	1	0	Dùng tên lửa để tấn công
Hỏa cầu	3	12004	22	3	7367083	0	3	2	1	0	22	0	1	1	7	1	10	12002	0	0	0	1	1	0	Tạo quả cầu lửa để tấn công
Hỏa luân	3	12005	22	3	7367083	0	3	2	1	0	10	0	1	1	6	1	10	12002	0	0	0	1	1	0	Biến lửa thành đao để tấn công
Hội tâm nhất kích	3	12006	24	3	7367083	0	3	1	1	0	14	0	1	1	7	1	10	12003	1	0	0	1	1	0	Tăng cường uy lực cho tuyệt kỹ
Diễm Chi Vũ	3	12007	30	3	7367083	0	4	2	1	0	23	0	1	1	10	1	10	12004	0	0	0	1	1	0	Mượn mây lửa để tấn công 
Phong hỏa luân	3	12008	30	3	7367083	0	4	2	1	0	23	0	1	1	10	1	10	12005	0	0	0	1	1	0	Sử dụng hỏa luân để tấn công
Hỏa kiếm	3	12009	30	3	7367083	0	4	1	1	0	18	0	1	1	9	1	10	12006	1	0	0	1	1	0	Tạo kiếm lửa để tấn công
Hỏa Long	3	12010	37	3	7367083	0	5	2	1	0	22	0	1	1	12	1	10	12007	0	0	0	1	1	0	Gọi rồng lửa để tấn công
Bát diện hỏa luân	3	12011	37	3	7367083	0	5	2	1	0	22	0	1	1	13	1	10	12008	0	0	0	1	1	0	Tạo nhiều hỏa luân để tấn công
Cuồng diêm trảm	3	12012	46	3	7367083	0	5	2	6	0	26	0	1	1	12	1	10	12009	0	0	0	1	1	0	Tạo đại đao lửa để tấn công
Tam vị chân hỏa	3	12013	50	3	7367083	0	6	2	1	0	23	0	1	1	16	1	10	12010	0	0	0	1	1	0	Phép tạo lửa thiêu đốt kẻ thù
Phong Hỏa LiêuNguyên	3	12014	60	3	7367083	0	8	2	8	0	25	0	1	1	16	1	10	12011	0	0	0	1	1	0	Tuyệt kỹ cửu thiên liệt diệm 
Bạch hồng quán nhật	3	12015	50	3	7367083	0	6	1	1	0	15	0	1	1	16	1	10	12012	1	0	0	1	1	0	Tuyệt kỹ xuyên thiên phá nhật 
Phụng hoàng	3	12016	120	3	7367083	0	1	2	3	0	53	0	1	245	0	1	10	0	0	0	0	0	1	0	Gọi phụng hoàng lửa hiện thân
Gọi tiểu trung phụng	3	12017	120	3	7367083	0	2	2	6	0	54	0	1	0	0	1	1	0	0	0	0	0	0	0	N/A
Gọi tiểu trung phụng	3	12018	120	3	7367083	0	2	2	6	0	54	0	1	0	0	1	1	0	0	0	0	0	0	0	N/A
Gọi đại phụng	3	12019	120	3	7367083	0	3	2	8	0	54	0	1	0	0	1	1	0	0	0	0	0	0	0	N/A
Hỏa Dương Quyết	3	12020	0	3	7367083	0	1	19	1	0	0	0	0	0	1	1	10	0	0	1	0	2	0	0	Tâm pháp thu khí Hỏa linh
Cực Dương Kiếm	3	12021	36	3	7367083	0	5	1	1	0	35	0	1	1	8	1	10	12020	1	1	0	2	1	0	Gọi kiếm thần Dương giết địch.
Cuồng Long Phệ Nhật	3	12022	66	3	7367083	0	7	1	1	0	20	0	1	1	18	1	10	12024	1	1	0	2	1	0	Gọi Thiên Long Phá Ðịa.
Sí Diễm Vô Nhị	3	12023	48	3	7367083	0	5	2	5	0	26	0	1	1	11	1	10	12020	0	1	0	2	1	0	Dung nham phun trào.
Ðan Dương Hộ Thể	3	12024	30	3	7367083	0	6	4	1	1	27	111	1	1	10	1	5	12021	0	1	0	2	1	0	Khí Ðan Dương hộ thân.
CuồngNhiệt Chiến Hồn	3	12025	60	3	7367083	0	6	19	8	1	17	52	1	1	15	1	5	12026	0	1	0	2	1	0	Tăng ý chí chiến đấu.
Ngũ Lôi Oanh Ðỉnh	3	12026	54	3	7367083	0	7	2	7	0	29	0	1	1	13	1	10	12023	0	1	0	2	1	0	Gọi Thiên Cự Lôi để phá địch
Hỏa Bạo Nhất Kích	3	12027	52	3	7367083	0	5	1	1	0	27	0	1	1	7	1	10	12006	1	2	0	3	1	0	Giáng cú đấm nảy lửa xuống
Liệt Thuật Hào Hỏa	3	12028	56	3	7367083	0	11	2	1	0	30	0	1	1	9	1	10	12011	0	2	0	3	1	0	Phóng hoả châu xuống trại địch
Xích Long Cự	3	12029	56	3	7367083	0	11	2	5	0	38	0	1	1	5	1	10	12004	0	2	0	3	1	0	Bùng nổ như rồng phun lửa
Lôi Hỏa Thiệu Lâm	3	12030	64	3	7367083	0	11	2	6	2	35	179	1	1	9	1	10	12010	0	2	0	3	1	0	Sấm sét đốt cháy địch
Dương Viêm	3	12031	52	3	7367083	0	11	1	2	2	30	179	1	1	10	1	10	12015	1	2	0	3	1	0	Cú đấm hào hùng đập tan tất cả
Chúc Dung Phần Dã	3	12032	72	3	7367083	0	7	2	8	2	45	179	1	1	9	1	10	12014	0	2	0	3	1	0	Lửa biến thành rồng uốn mình
Long Bá Liệt Trảm	3	12033	84	3	7367083	0	15	1	1	0	35	0	1	1	16	1	10	12022	1	2	0	3	1	0	Khí thế chấn động đất trời
Long Vương Chấn Hề	3	12034	84	3	7367083	0	15	2	8	0	60	0	1	1	16	1	10	12026	0	2	0	3	1	0	Khí thế chấn động đất trời
Hoả thiệt chi loạn	3	12035	67	3	7367083	0	1	20	1	0	19	0	0	0	0	0	5	0	0	0	0	0	3	0	Dùng skill Atk ngẫu nhiên
Liệt diễm chi vũ	3	12036	65	3	7367083	0	1	20	1	0	19	0	0	0	0	0	5	0	0	0	0	0	3	0	Dùng skill Int ngẫu nhiên
Chân.TLong Bá L Trảm	3	12037	84	3	7367083	0	17	1	1	0	35	0	1	1	16	1	10	0	1	2	0	3	3	0	Tước Long xoay người
Ðại Thánh trảm yêu	3	12038	84	3	7367083	0	17	1	1	0	35	0	1	1	16	1	10	0	1	2	0	3	3	0	Tuyệt kỹ Tôn Ngộ Không
ÐT trảm yêu áo nghĩa	3	12039	84	3	7367083	0	20	1	1	0	35	0	1	1	16	1	10	0	1	2	0	3	3	0	Tôn Ngộ Không tĩnh ngộ
Kim tinh hoả nhãn	3	12040	15	3	7367083	0	2	1	3	0	15	0	1	1	4	1	10	0	2	0	0	3	3	0	Sức nóng của kim tinh hoả nhãn
Xà mâu hồn phệ kích	3	12041	54	3	7367083	0	5	1	3	0	19	7	1	0	1	1	5	0	1	0	0	3	3	0	Bát Xà Mâu chấn nhiếp hồn phệ
XM Hồn phệ kích A.N	3	12042	54	3	7367083	0	7	1	3	0	19	7	1	0	1	1	5	0	1	0	0	3	3	0	Bát Xà Mâu tuyệt sát
Bạch Hổ tàng địa phệ	1	12043	56	1	7367083	0	26	2	5	0	38	0	1	1	5	1	10	0	0	0	0	3	3	0	Mã Siêu từ lòng đất bay ra
BH tàng địa phệ A.N	1	12044	60	1	7367083	0	30	2	5	0	38	0	1	1	5	1	10	0	0	0	0	3	3	0	Siêu Bạch Hổ tàng địa phệ
Thuật ngự phong	4	13001	9	4	7367083	0	1	2	1	0	18	0	1	1	1	1	10	0	0	0	0	1	1	0	Tạo ảo giác cho đối phương
Tuyền Phong	4	13002	15	4	7367083	0	2	3	1	2	17	2	1	1	3	1	5	13001	0	0	0	1	1	0	Tạo lốc xoáy khống chế kẻ thù
Lẫn tránh	4	13003	13	4	7367083	0	2	4	1	2	19	102	1	1	4	1	5	13001	0	0	0	1	1	0	Lợi dụng gió để xóa dấu vết
Cuồng phong	4	13004	23	4	7367083	0	3	2	1	0	27	0	1	1	6	1	10	13002	0	0	0	1	1	0	Gọi cuồng phong đánh liên tục
Thuật ẩn mình	4	13005	22	4	7367083	0	3	4	1	1	20	105	1	1	7	1	5	13003	0	0	0	1	1	0	Lợi dụng gió để ẩn mình
Bão Phong	4	13006	30	4	7367083	0	4	2	1	0	22	0	1	1	11	1	10	13004	0	0	0	1	1	0	Tạo bão phong càn quét địch
Huyền Kích	4	13007	31	4	7367083	0	4	1	1	2	18	5	1	1	10	1	10	13004	1	0	0	1	1	0	Ðánh nhanh làm ngất đối thủ 
Thuật phân thân	4	13008	38	4	7367083	0	4	9	1	3	18	0	1	1	13	1	1	13005	0	0	0	1	1	0	Phép phân thân tạo ảo ảnh
Phong quyển tàn vân	4	13009	40	4	7367083	0	5	1	1	0	24	0	1	1	16	1	10	13006	1	0	0	1	1	0	Tạo lốc xoáy tấn công đối thủ
Liên kích	4	13010	40	4	7367083	0	5	1	1	0	20	0	1	1	13	1	10	13007	1	0	0	1	1	0	Phép tấn công liên hòan 
Thuật thu nhỏ	4	13011	33	4	7367083	0	5	15	1	3	17	172	1	1	12	1	5	13008	0	0	0	1	1	0	Phép thu nhỏ thân hình
Thuật phóng đại	4	13012	33	4	7367083	0	5	4	1	3	17	107	1	1	12	1	5	13008	0	0	0	1	1	0	Phép phóng to thân hình
Loạn kích	4	13013	49	4	7367083	0	6	1	4	0	26	0	1	1	16	1	10	13010	1	0	0	1	1	0	Cuồng sát quân địch
Nguyên khí	4	13014	45	4	7367083	0	6	4	1	3	17	106	1	1	15	1	10	13011	0	0	0	1	1	0	Vận công để hồi phục thể lực 
Thanh long	4	13015	120	4	7367083	0	1	3	3	0	61	2	1	245	0	1	10	0	0	0	0	0	1	0	Gọi thanh long hiện thân
Gọi tiểu trung long	4	13016	120	4	7367083	0	2	2	6	0	49	0	1	0	0	1	1	0	0	0	0	0	0	0	N/A
Gọi trung long	4	13017	120	4	7367083	0	2	2	6	0	49	0	1	0	0	1	1	0	0	0	0	0	0	0	N/A
Gọi đại long	4	13018	120	4	7367083	0	3	2	8	0	82	0	1	0	0	1	1	0	0	0	0	0	0	0	N/A
Phong Ngạo Quyết	4	13019	0	4	7367083	0	1	19	1	0	0	0	0	0	1	1	10	0	0	1	0	2	0	0	Tâm pháp thu khí Phong linh
Phong Chi Chiến Ý	4	13020	60	4	7367083	0	6	19	7	1	19	51	1	1	10	1	5	13021	0	1	0	2	1	0	Lợi dụng gió để tăng tốc.
Ðẩu Chuyển Tinh Di	4	13021	48	4	7367083	0	6	4	1	1	16	112	1	1	9	1	5	13019	0	1	0	2	1	0	Phong vân khí phản công.
Liệt Phong Ðạn	4	13022	36	4	7367083	0	5	2	1	0	24	0	1	1	8	1	10	13019	0	1	0	2	1	0	Tụ gió thành bão diệt địch
Long Quyển Cụ Phong	4	13023	54	4	7367083	0	7	2	6	0	27	0	1	1	12	1	10	13024	0	1	0	2	1	0	Phong thần phá trận địch.
Ảo Ảnh Liên Kích	4	13024	44	4	7367083	0	6	1	1	0	25	0	1	1	11	1	10	13022	1	1	0	2	1	0	Dùng sức của gió hạ nhiều địch
Vô Ảnh Vô Tướng	4	13025	52	4	7367083	0	6	4	1	2	13	113	1	1	15	1	5	13020	0	1	0	2	1	0	Phép tàng hình mất dạng.
Băng Lôi	4	13026	44	4	7367083	0	10	1	1	0	30	0	1	1	11	1	10	13009	1	2	0	3	1	0	Sấm sét liên tục giáng xuống
Phong Huyễn Thần Ly	4	13027	42	4	7367083	0	10	2	1	0	34	0	1	1	9	1	10	13006	0	2	0	3	1	0	Dùng Ðiện Cầu phóng điện 
Trảm Kỵ Phi Kiếm	4	13028	48	4	7367083	0	10	2	5	0	26	0	1	1	4	1	10	13004	0	2	0	3	1	0	Chém đứt cả người lẫn ngựa
Sơn Lam	4	13029	56	4	7367083	0	14	1	1	2	30	5	1	1	9	1	10	13024	1	2	0	3	1	0	Nhanh tựa Vũ bão đột kích địch
Thức Qủy Hấp Hồn	4	13030	50	4	7367083	0	8	15	3	0	28	180	1	1	9	1	5	13014	0	2	0	3	1	0	Hấp thụ linh hồn
Phong Kình Lôi Minh	4	13031	84	4	7367083	0	12	2	8	0	30	0	1	1	11	1	10	13023	0	2	0	3	1	0	Kêu gọi sấm chớp đến công kích
Ẩn Phân Thân Thuật	4	13032	68	4	7367083	0	8	9	1	0	26	105	1	1	9	1	5	13005	0	2	0	3	1	0	Biến thân trốn vào trong gió
Chấn Ðiện	4	13033	72	4	7367083	0	13	1	4	0	28	0	1	1	8	1	10	13013	1	2	0	3	1	0	Ðiện cực đánh vào điểm yếu 
Cuồng phong chi loạn	4	13034	67	4	7367083	0	1	20	1	0	19	0	0	0	0	0	5	0	0	0	0	0	3	0	Dùng skill Atk ngẫu nhiên
Xuy phất chi vũ	4	13035	65	4	7367083	0	1	20	1	0	19	0	0	0	0	0	5	0	0	0	0	0	3	0	Dùng skill Int ngẫu nhiên
TLong Y nguyệt trảm	4	13036	72	4	7367083	0	16	1	4	0	28	0	1	1	8	1	10	0	1	2	0	3	3	0	Võ Thần xuất ra 1 kích
TL YN trảm áo nghĩa	4	13037	72	4	7367083	0	19	1	4	0	28	0	1	1	8	1	10	0	1	2	0	3	3	0	Võ Thần xuất ra tuyệt kích
Thuật trinh thám	5	14001	0	5	7367083	0	1	0	1	0	20	0	1	0	0	1	1	0	0	0	0	0	1	0	Hiện HP và thuộc tính của địch
Thuật đào tẩu	5	14002	10	5	7367083	0	2	12	1	0	5	0	1	0	0	1	1	14001	0	0	0	0	1	0	Chốn khỏi chiến trường dể dàng
Thuật mua bán	5	14003	0	5	7367083	0	2	0	1	0	20	0	1	0	0	1	8	14001	0	0	0	1	0	0	Dùng để trưng bày hàng hoá
Thuật dò xét	5	14004	0	5	7367083	0	2	0	1	0	20	0	1	0	0	1	10	14001	0	0	0	1	0	0	Kỹ năng mua khoáng sơ cấp
Thuật luyện đơn	5	14005	0	5	7367083	0	2	0	1	0	20	0	1	0	0	1	10	14001	0	0	0	1	0	0	Kỹ năng hợp thành sơ cấp
Ðại hô	5	14006	20	5	7367083	0	2	2	2	0	22	0	1	0	0	1	10	14001	1	0	0	1	1	0	Hô to để đe dọa quân địch
Giải hôn	5	14007	5	5	7367083	0	3	5	1	0	20	0	1	0	0	1	1	14002	0	0	0	0	0	0	Giải hôn mê bằng âm nhạc
Hôn mê	5	14008	15	5	7367083	0	3	3	1	2	22	6	1	0	0	1	5	14002	0	0	0	0	3	0	Gây hôn mê bằng âm nhạc
Người làm	5	14009	0	5	7367083	0	3	0	1	0	20	0	1	0	0	2	10	14003	0	0	0	0	0	0	N/A
Thuật đào khoáng	5	14010	0	5	7367083	0	3	0	1	0	20	0	1	0	0	1	10	14004	0	0	0	1	0	0	Kỹ năng đào khoáng trung cấp
Thuật đúc luyện 	5	14011	0	5	7367083	0	3	0	1	0	20	0	1	0	0	1	10	14005	0	0	0	1	0	0	Kỹ năng hợp thành trung cấp
Ðồng tâm	5	14012	36	5	7367083	0	3	4	1	3	20	108	1	0	0	1	10	14006	0	0	0	0	1	0	Ðoàn kết đề cao phòng thủ 
Cổ Vũ	5	14013	36	5	7367083	0	3	4	1	3	20	109	1	0	0	1	10	14006	0	0	0	0	3	0	Tăng sức đánh cho quân mình
Giải độc	5	14014	8	5	7367083	0	4	5	1	0	20	0	1	0	0	1	1	0	0	0	0	0	1	0	Vận công giải độc 
Bỏ độc	5	14015	25	5	7367083	0	4	15	1	4	20	171	1	0	0	1	10	0	0	0	0	1	1	0	Khiến kẻ thù bị nhiễm độc
Thuật giao dịch	5	14016	0	5	7367083	0	4	0	1	0	20	0	1	0	0	1	10	14009	0	0	0	0	0	0	N/A
Tịnh toạ	5	14017	0	5	7367083	0	4	0	1	0	20	0	1	0	0	1	10	14009	0	0	0	0	0	0	N/A
Thuật đào sâu	5	14018	0	5	7367083	0	4	0	1	0	20	0	1	0	0	1	10	14010	0	0	0	1	0	0	Kỹ năng đào khoáng cao cấp
Thuật chế tạo	5	14019	0	5	7367083	0	4	0	1	0	20	0	1	0	0	1	5	14011	0	0	0	1	0	0	Kỹ năng hợp thành cao cấp
