map1	warpid	map2	x	y
19531	1	19532	430	510
19532	1	19531	430	110
19532	2	19533	1230	2470
19533	1	19532	430	110
19533	2	19534	110	290
19534	1	19533	2370	290
19534	2	19535	110	930
19535	1	19534	710	270
19535	2	19000	830	350
19535	3	19000	550	130
19541	1	19000	270	190
19541	2	19542	650	330
19542	1	19541	110	990
19542	2	19544	1250	150
19542	3	19545	3190	950
19542	4	19543	1250	1790
19543	1	19542	370	130
19544	1	19542	390	470
19545	1	19542	110	310
19545	2	19546	650	310
19545	3	19549	650	310
19546	1	19545	110	330
19546	2	19547	1230	1790
19546	3	19548	2370	950
19547	1	19546	370	130
19548	1	19546	110	290
19549	1	19545	110	1610
19549	2	19551	1250	130
19549	3	19550	2390	970
19550	1	19549	110	290
19551	1	19549	390	470
19801	1	19000	810	790
19801	2	19802	1510	2450
19802	1	19801	250	230
19811	1	19812	250	250
19811	2	19000	1030	1010
19812	1	19811	3090	2370
19812	2	19813	270	430
19813	1	19812	1070	1490
19821	1	19822	210	1110
19821	2	19000	2050	1350
19822	1	19821	1450	210
19831	1	19000	1450	1630
19831	2	19832	2270	230
19832	1	19831	250	2370
19851	1	19526	210	1690
19851	2	19411	1510	710
19851	3	19413	610	110
19852	1	19413	730	770
19861	1	19509	2290	1010
19861	2	19401	250	990
49917	1	12003	1250	490
55000	1	11000	2870	70
55000	2	56000	90	510
55000	3	55001	790	590
55001	1	55000	1170	1050
55001	2	55002	470	410
55001	3	55003	370	410
55002	1	55001	930	390
55003	1	55001	1190	450
56000	1	57000	90	2030
56000	2	55000	2390	910
56000	3	56501	1250	1750
56000	4	56001	1130	790
56000	5	56521	410	2370
56000	6	56801	310	1090
56000	7	56811	1370	1810
56000	8	56821	190	1770
56001	1	56000	1130	1230
56001	2	56104	250	530
56001	3	56103	250	530
56001	4	56102	590	510
56001	5	56101	590	510
56101	1	56001	230	550
56102	1	56001	470	350
56103	1	56001	670	410
56104	1	56001	910	450
56501	2	56000	510	290
56501	1	56502	630	330
56501	3	56509	130	310
56521	1	56000	2330	2030
56521	2	56522	230	410
56521	3	56524	1250	2450
56521	4	56523	150	290
56521	5	56530	210	1670
56801	2	56000	1730	2450
56801	1	56802	250	2430
56811	1	56000	650	1150
56811	2	56812	1530	310
56821	1	56000	710	150
56821	2	56541	110	1650
57000	1	56000	2730	2650
57000	2	57401	410	550
57000	3	57518	1250	1730
57000	4	57001	1170	790
57000	5	57501	150	990
57000	6	57510	1250	1150
57000	7	57521	410	1110
57000	8	57801	4870	230
57000	10	57821	250	1150
57000	9	57811	1450	1850
58000	1	11000	2850	90
11041	1	11000	1830	1570
11041	2	11042	1190	430
11042	1	11041	290	1530
11042	2	11045	2330	150
11045	1	11042	90	470
11045	5	11000	1690	1730
11301	1	11002	450	250
11555	2	11565	170	330
12432	1	12431	750	570
12432	2	12809	190	1790
12502	1	12505	370	190
12502	2	12506	610	290
12502	3	12507	150	290
12502	4	12504	190	990
12502	5	12503	1550	990
12503	1	12502	130	350
12503	2	12508	130	310
12504	2	12502	4070	350
12505	1	12502	2110	2390
12505	2	12501	170	350
12506	1	12502	190	990
12507	1	12502	3950	1010
12508	1	12503	1490	350
12521	1	12542	470	330
12521	2	12530	170	330
12521	3	12531	170	330
12521	4	12529	370	170
12521	5	12013	1390	250
12522	1	12529	370	450
12522	2	12543	190	130
12523	1	12530	390	170
12523	2	12532	170	330
12523	3	12533	150	330
12523	4	12534	130	290
12523	5	12535	150	310
12523	6	12531	390	430
12524	1	12532	390	170
12524	2	12537	390	250
12525	1	12536	630	330
12525	2	12535	410	450
12526	1	12533	650	330
12526	2	12538	170	330
12526	3	12539	130	310
12526	4	12540	150	330
12527	1	12538	650	330
12527	2	12541	130	270
12528	1	12540	630	330
12528	2	12544	110	350
12529	1	12521	2090	2430
12529	2	12522	430	130
12530	1	12521	3210	350
12530	2	12523	410	1150
12531	1	12521	3210	990
12531	2	12523	410	2710
12532	1	12523	2370	990
12532	2	12524	410	1150
12533	1	12523	2370	2270
12533	2	12526	130	330
12534	1	12523	2370	2910
12535	1	12523	2370	3550
12535	2	12525	1250	130
12536	1	12525	150	970
12537	1	12524	1530	350
12538	1	12526	2370	330
12538	2	12527	130	330
12539	1	12526	2370	970
12540	1	12526	2370	1630
12540	2	12528	150	330
12541	1	12527	1530	350
12542	1	12521	970	330
12543	1	12522	430	1150
12544	1	12528	1550	350
12544	2	12552	210	410
12544	3	12553	370	170
12544	4	12554	370	170
12545	1	12553	370	450
12545	2	12555	390	110
12546	2	12558	370	150
12547	1	12554	390	450
12547	2	12557	190	150
12547	3	12558	150	330
12548	1	12558	650	330
12548	2	12559	170	330
12549	1	12559	390	170
12549	2	12560	370	450
12549	3	12561	390	450
12550	1	12563	2090	1850
12550	2	12560	370	170
12551	1	12561	370	150
12551	2	12562	410	470
12552	1	12544	2090	150
12553	1	12544	410	2430
12553	2	12545	410	130
12554	1	12544	1250	2430
12554	2	12547	410	130
12555	1	12545	410	1150
12557	1	12547	1250	1790
12558	1	12547	2350	990
12558	2	12546	2090	1790
12558	3	12548	150	330
12559	1	12548	1530	350
12559	2	12549	1250	1790
12560	1	12549	410	130
12560	2	12550	430	1150
12561	1	12549	2090	110
12561	2	12551	410	1150
12562	1	12551	410	130
12563	1	12550	410	130
12563	2	12568	650	330
12564	1	12569	390	450
12564	2	12568	150	330
12565	1	12569	370	150
12565	2	12570	390	450
12566	1	12571	650	330
12566	2	12570	150	330
12567	1	12571	370	150
12568	1	12563	130	990
12568	2	12564	2350	1010
12569	1	12564	410	150
12569	2	12565	1250	1810
12570	1	12565	1250	130
12570	2	12566	1530	350
12571	1	12566	130	330
12571	2	12567	430	1170
12809	1	12432	1290	390
12809	2	20501	3170	330
12852	1	12000	390	2570
12852	2	12853	410	1010
12853	2	12854	270	470
12853	4	12855	590	430
12854	2	12853	1910	430
12855	1	12853	670	410
13011	1	13012	230	550
13011	2	13000	1810	1050
13012	1	13132	410	390
13012	2	13303	270	450
13012	3	13172	350	410
13012	4	13222	470	410
13012	5	13202	410	390
13012	6	13242	430	510
13012	7	13011	830	130
13012	8	13013	670	550
13012	9	13014	170	830
13013	1	13173	350	410
13013	2	13104	470	410
13013	3	13262	370	390
13013	4	13103	390	410
13013	5	13012	150	170
13013	6	13015	110	410
13014	1	13012	730	330
13015	1	13013	810	310
13015	2	13308	670	830
13021	1	13022	690	530
13021	2	13000	810	1510
13022	1	13021	130	130
13022	2	13174	490	390
13022	3	13223	470	390
13022	4	13243	390	490
13022	5	13133	450	390
13022	6	13105	370	390
13022	7	13023	1270	1110
13023	1	13022	310	90
13023	2	13511	1250	1130
13031	1	13032	230	530
13031	2	13811	1530	290
13032	1	13031	850	110
13032	2	13203	410	390
13032	3	13244	470	490
13032	4	13304	270	450
13032	5	13175	350	390
13032	6	13134	450	390
13041	1	13042	190	550
13041	2	13821	1550	270
13042	1	13041	850	110
13042	2	13043	250	1130
13042	3	13224	470	410
13042	4	13245	390	510
13042	5	13106	370	410
13042	6	13176	490	410
13043	1	13042	690	90
13043	2	13541	170	990
