name 	type 	id 	prop1 	prop1_val 	prop2 	prop2_val 	element 	elem_val 	contribute 	sellprice 	equippos 	level 	BuyingPrice 	SellingPrice 	ItemDescription 	unk1 	unk2 	unk3 	unk4 	unk5 	unk6 	unk9 	unk10 	unk11 	unk12 	unk13 	unk14 	unk15 	unk16
Long Nha Chùy	1	10495	210	33	0	0	0	-100	1	29	3	117	0	29	Khi vẩy múa thân đao phát ra Hỏa diệm	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Búa Siêu Bự	1	10496	210	50	214	-15	0	-100	1	29	3	117	0	29	Loại búa cực bự, rất mạnh	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Hoàng Cân Sừ Ðầu	39	10497	210	10	0	0	0	-100	1	19	3	85	0	19	Dụng cụ quân Khăn Vàng cần để khai quật	0	0	8	0	12	0	0	0	0	0	0	0	0	0
Ðao hộ pháp	39	10499	210	100	214	-60	0	-100	1	20	3	0	0	1	Các hộ pháp thành Ðại Mạc thường dùng	0	0	0	0	12	0	0	0	0	0	0	0	0	0
Ðao Phục Thù	39	10500	210	60	214	-20	0	-100	1	20	3	0	0	1	Vũ khí được Triệu Nga tinh luyện	0	0	0	0	12	0	0	0	0	0	0	0	0	0
Ðao Thương Tuyết	1	10501	210	11	0	0	1	1	1	10	3	40	0	10	Thần Binh từ trời 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Cuồn Sa 	1	10502	210	11	0	0	2	1	1	10	3	40	0	10	Bảo đao uy lực mạnh mẽ có thể chặt đá	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Hàn Trạch 	1	10503	210	11	0	0	3	1	1	10	3	40	0	10	Lợi khí đến từ băng hồ của Bắc Cực	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Hoặc Diêm 	1	10504	210	11	0	0	4	1	1	10	3	40	0	10	Ðao được đề luyện bằng đá lửa lòng đất	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Bân Lôi 	1	10505	210	15	214	5	0	-100	1	5	3	15	0	5	khi lay động như sét đánh rung đất	0	0	0	0	127	0	0	0	0	0	0	0	5	0
Ðao Tuyên Ni 	1	10506	210	8	0	0	0	-100	1	7	3	25	0	7	Ðao của Du Nhượng đầy sát khí	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Linh Hồ 	1	10507	210	30	0	0	0	-100	1	16	3	30	29800	16	Ðược ngâm qua nước cực hàn khi chế tạo	0	0	0	0	12	0	0	0	0	0	0	0	0	0
Ðao Thiên Cừ 	1	10508	210	16	0	0	1	2	1	15	3	65	0	15	Từng giết qua nhiều kẻ địch,rất sắc bén	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Lăng Phong 	1	10509	210	16	0	0	2	2	1	15	3	65	0	15	Loại đao làm bằng phương thức đặc biệt	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoặc Diêm Ðao 	1	10510	210	16	0	0	3	2	1	15	3	65	0	15	Cây đao thép rèn bởi địa tâm hỏa thạch	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bôn Lôi Ðao 	1	10511	210	16	0	0	4	2	1	15	3	65	0	15	Múa đao này thì như thiên lôi quán địa	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tuyết Ni Ðao 	1	10512	210	19	0	0	1	2	1	18	3	80	0	18	Truyền là đao của thích khách DỰ NHƯỢNG	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Linh Hồ Ðao 	1	10513	210	19	0	0	2	2	1	18	3	80	0	18	Ðao được rèn với cực lạnh	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiên Cự Ðao 	1	10514	210	19	0	0	3	2	1	18	3	80	0	18	Cây đao gọt sắt như bùn, chém vô số địch	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Lăng Phong	1	10515	210	19	0	0	4	2	1	18	3	80	0	18	Cây đao tốt được chế bằng cách đặc biệt	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mặc Vũ Ðao 	1	10516	210	23	0	0	1	2	1	22	3	96	0	22	Lưỡi đao mạnh từ dung nham núi mà thành	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lãng Văn Ðao 	1	10517	210	23	0	0	2	2	1	22	3	96	0	22	Lưỡi sắc nhọn có luồng lạnh của sóng	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ma Hoả Ðao 	1	10518	210	23	0	0	3	2	1	22	3	96	0	22	Trường đao phát ra ánh lửa hồng	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cương Ðao 	1	10519	210	23	0	0	4	2	1	22	3	96	0	22	Lưỡi đao sắc có luồng lạnh rợn người	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ðao Tinh Luyện	1	10520	210	10	214	1	0	-100	1	8	3	0	0	1	Ðao tinh luyện nhiều lần mà thành	0	0	0	0	8	0	0	0	0	0	0	0	13	0
Búa thép	1	10521	210	18	214	2	1	1	1	14	3	0	0	1	Ðao có thể chém sắt như chém bùn	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Búa thép	1	10522	210	18	214	2	2	1	1	14	3	0	0	1	Ðao có thể chém sắt như chém bùn	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Búa thép	1	10523	210	18	214	2	3	1	1	14	3	0	0	1	Ðao có thể chém sắt như chém bùn	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Búa thép	1	10524	210	18	214	2	4	1	1	14	3	0	0	1	Ðao có thể chém sắt như chém bùn	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Thiên Khu	1	10525	210	33	214	5	1	2	1	24	3	108	0	1	Bắc đẩu địa ma đao	0	0	0	0	24	0	0	0	0	0	0	0	0	0
Thiên hoàn	1	10526	210	33	214	5	2	2	1	24	3	108	0	1	Bắc đẩu thủy ma đao	0	0	0	0	24	0	0	0	0	0	0	0	0	0
Thiên Cơ	1	10527	210	33	214	5	3	2	1	24	3	108	0	1	Bắc đầu hỏa ma đao	0	0	0	0	24	0	0	0	0	0	0	0	0	0
Thiên Quyền 	1	10528	210	33	214	5	4	2	1	24	3	108	0	1	Bắc đẩu phong ma đao	0	0	0	0	24	0	0	0	0	0	0	0	0	0
Cam Hưng Bá	11	10529	210	31	214	4	0	-100	1	25	3	50	0	1	Ðao Cam Ninh hay dùng, thân đao rất đẹp 	0	0	42	0	8	0	12	0	0	0	0	0	11	0
Cuốc chân kim	39	10530	210	12	0	0	0	-100	1	20	3	90	0	1	Cuốc vàng mà đại phú gia mới có thể làm ra	0	0	8	0	12	0	0	0	0	0	0	0	0	0
Cuốc tân truyền	39	10531	210	14	0	0	0	-100	1	21	3	95	0	1	Cuốc mà Thiên tử dùng để cầu khẩn thượng thiên ban cho mùa bội thu	0	0	8	0	12	0	0	0	0	0	0	0	0	0
Cuốc hòa điền	39	10532	210	16	0	0	0	-100	1	22	3	100	0	1	Cuốc dùng ngọc thạch hiếm có làm thành	0	0	8	0	12	0	0	0	0	0	0	0	0	0
Cuốc đá vũ hoa	39	10533	210	18	0	0	0	-100	1	23	3	105	0	1	Cuốc đá dùng đá vũ hoa xanh sậm chế thành	0	0	8	0	12	0	0	0	0	0	0	0	0	0
Cuốc nham thạch đỏ	39	10534	210	20	0	0	5	1	1	24	3	110	0	1	Cuốc đá dùng long hầu nham đỏ chế thành	0	0	8	0	12	0	0	0	0	0	0	0	0	0
Ðèn lồng nguyên tiêu	1	10535	0	0	0	0	0	-100	3	1	3	15	0	0	Ðèn lồng dùng trong tết nguyên tiêu	0	0	0	0	95	0	0	0	0	0	0	0	0	0
Ðèn lồng đoạt hồn	1	10536	210	34	214	6	5	1	1	29	3	117	1050000	29	Ðèn lồng phát màu đỏ, có thể đoạt 3 hồn người trong nháy mắt	0	0	0	0	72	0	0	0	0	0	0	0	0	0
Ðèn lồng nhiếp phách	1	10537	212	34	214	6	5	1	1	29	3	117	1050000	29	Ðèn lồng phát màu đỏ, có thể đoạt 7 phách người trong nháy mắt	0	0	0	0	72	0	0	0	0	0	0	0	0	0
Ðèn hồi nguyên	1	10538	0	0	0	0	0	-100	3	1	3	15	0	0	Ðèn lồng dùn trong tết nguyên tiêu	0	0	0	0	95	0	0	0	0	0	0	0	0	0
Sư giảo kiếm	11	10539	210	30	207	100	5	2	1	25	3	0	0	0	Bảo kiếm sắt nhọn, thân kiếm phát ra tia sáng xanh lam	0	0	41	0	11	0	12	0	0	0	0	0	0	0
Sư khống kiếm	1	10540	210	30	207	100	5	2	1	25	3	0	0	0	Bảo kiếm sắt nhọn, thân kiếm phát ra tia sáng đỏ	0	0	42	0	11	0	12	0	0	0	0	0	0	0
KhaiThiênPhápTrượng	11	10541	212	30	207	100	5	2	1	25	3	0	0	0	Pháp trượng dùng hỗ trợ cho mình trong thời bàn cổ khai thiên	0	0	41	0	11	0	12	0	0	0	0	0	0	0
Tịch địa pháp trượng	11	10542	212	30	207	100	5	2	1	25	3	0	0	0	Pháp trượng dùng hỗ trợ cho mình trong thời bàn cổ tịch địa	0	0	42	0	11	0	12	0	0	0	0	0	0	0
Nhật nộ bảo đao	1	10543	211	30	0	0	0	-100	1	16	3	0	0	0	Bảo đao khuôn đúc hỏa nộ thạch mà thành	0	0	0	0	31	0	0	0	0	0	0	0	0	0
Ðèn lồng đỏ nhỏ	1	10544	211	30	0	0	0	-100	3	1	3	15	0	0	Ðèn lồng dùng trong tết nguyên tiêu	0	0	0	0	12	0	0	0	0	0	0	0	0	0
Nhận vô ảnh	1	10545	210	50	214	-15	5	3	1	25	3	25	0	0	Ðại đao đồng xanh rất nặng, người dùng sẽ chịu ảnh hưởng nên tốc độ chậm	0	0	0	0	8	0	0	0	0	0	0	0	41	0
Kimchùy.NgựThiênTử	1	10546	210	55	211	-25	0	-100	1	30	3	150	0	30	Vũ khí thần bí thời khai thiên đến tận giờ	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Tu la trảm	1	10547	210	50	0	0	0	-100	1	30	3	150	0	30	Bảo đao giữ tù trên tay Diêm la vương	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ThầnChâmÐ.BátPhương	1	10548	212	55	214	-25	0	-100	6	30	3	150	0	30	Nghe nói là cờ chiến của Hoàng đế và Viêm đế dùng để chỉ huy đội quân trong đại chiến	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Hiên viên kỳ	1	10549	212	50	0	0	0	-100	21	30	3	150	0	30	Cờ hoàng đế nắm, khi huy động có thể phát ra uy lực rất mạnh	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Kiếm Bạch Nhân 	2	11001	210	1	214	1	0	-100	1	1	3	0	10	1	Kiếm sơ cấp làm từ gang thép thường	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Tử Cực 	2	11002	210	2	214	1	0	-100	1	2	3	3	20	2	Loại Binh khí nhỏ với lưỡi kiếm ngắn	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm sắt 	2	11003	210	3	214	1	0	-100	1	3	3	5	50	3	Loại kiếm dài 3 thước với đầu kiếm nhọn	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Hắc Thiết 	2	11004	210	4	214	1	0	-100	1	4	3	10	85	4	Kiếm được bán ở các tiệm sắt thường	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Trường Lưu 	2	11005	210	5	214	1	0	-100	1	5	3	15	145	5	Hơi nặng,không tiện khi múa kiếm	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Phàn Vân 	2	11006	210	6	214	1	0	-100	1	6	3	20	245	6	Kiếm làm từ Thiết thạch,đầu kiếm cứng	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Dương Sa 	2	11007	210	7	214	1	0	-100	1	7	3	25	420	7	được mài giũa kỹ,sức sát thương cao	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Dung Cương 	2	11008	210	8	214	1	0	-100	1	8	3	30	700	8	Loại kiếm của dân tộc Tây Hoặc	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Lính khí 	2	11009	210	9	214	1	0	-100	1	9	3	35	1200	9	Kiếm quý  đã được gia công tinh luyện	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Ngô Vương	2	11010	210	10	214	1	0	-100	1	10	3	40	2050	10	Kiếm quý của Ngô Vương	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khoáng Kiếm	2	11011	210	1	214	1	0	-100	1	1	3	0	10	1	Kiếm dài lưỡi kiếm ngả vàng,rất sắt bén	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Banh Nhật 	2	11012	210	2	214	1	0	-100	1	2	3	3	20	2	Danh kiếm của nước Sở Thới chiến quốc	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Quang Tinh 	2	11013	210	3	214	1	0	-100	1	3	3	5	50	3	Kiếm được các hoàng Thất Hán yêu thích	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Vũ Lộ 	2	11014	210	4	214	1	0	-100	1	4	3	10	85	4	Kiếm nhỏ nhẹ phát ánh sáng như giọt mưa	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Phong Lô 	2	11015	210	5	214	1	0	-100	1	5	3	15	145	5	Kiếm quý với độ cứng và Ðộ dẻo rất cao	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Việt Vương	2	11016	210	11	214	2	0	-100	1	11	3	45	3480	11	Kiếm tùy thân của Việt Vương	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm quang Hợp 	2	11017	210	12	214	2	0	-100	1	12	3	50	5900	12	Kiếm có thể ánh chiếu với ánh sáng 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Ngự Nhung 	2	11018	210	13	214	2	0	-100	1	13	3	55	8800	13	Kiếm của Ðông Hán Danh tướng Ban Siêu	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Lưng Vân 	2	11019	210	14	214	2	0	-100	1	14	3	60	13300	13	Kiếm nhỏ mà bề mặt có đính Lưng Vân	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Ngũ Hành 	2	11020	210	15	214	2	0	-100	1	15	3	65	19900	15	Kiếm được tinh luyện từ lý niệm Ngũ Hành	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Ðàn Hương 	2	11021	210	16	214	3	0	-100	1	16	3	70	99999	16	Cáng kiếm làm từ gỗ Ðàn Hương	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Trúc Triết 	2	11022	210	17	214	3	0	-100	1	17	3	75	42000	17	được các Văn nhân nhã Sĩ yêu thích	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Tùng Vân 	2	11023	210	18	214	3	0	-100	1	18	3	80	58800	18	Có cáng kiếm làm từ gỗ tùng Ðen	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Thi Hùng 	2	11024	210	19	214	3	0	-100	1	19	3	85	76400	19	Kiếm Phân ra 1 nam 1 nữ,thân kiếm ngắn	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Thái Cực 	2	11025	210	20	214	3	0	-100	1	20	3	90	99000	20	Thích hợp cho các Pháp Sư sử dụng	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Song Cổ 	2	11026	210	21	214	3	0	-100	1	21	3	93	129000	21	Song kiếm hợp nhất uy lực vô cùng	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Phạm Nguyên	2	11027	210	22	214	3	0	-100	1	22	3	96	167000	22	Loại kiếm quý làm từ nguyệt thạch	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Phù Phong 	2	11028	210	23	214	3	0	-100	1	23	3	99	218000	23	Như tên gọi, kiếm vô cùng nhanh và nhẹ	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kiếm Bạch Hồng 	2	11029	210	24	214	3	0	-100	1	24	3	102	283000	24	Loại trường kiếm có hình cầu Vòng	0	0	0	0	0	0	0	0	0	0	0	0	0	0
